,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Team,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameType
260,260,260,260,260,Memphis Grizzlies,Los Angeles Clippers,W,11/04/2017,240,40,84,0.476,13,31,0.419,20,24,0.833,9,30,39,21,8,7,11,28,113,9,regular season
261,261,261,261,261,Los Angeles Clippers,Memphis Grizzlies,L,11/04/2017,240,38,83,0.458,4,26,0.154,24,31,0.774,15,28,43,18,7,7,13,22,104,-9,regular season
262,262,262,262,262,Sacramento Kings,Detroit Pistons,L,11/04/2017,240,40,76,0.526,10,21,0.476,9,13,0.6920000000000001,3,29,32,24,6,1,17,23,99,-9,regular season
263,263,263,263,263,Detroit Pistons,Sacramento Kings,W,11/04/2017,240,40,79,0.506,13,24,0.542,15,22,0.682,8,27,35,28,10,3,14,19,108,9,regular season
264,264,264,264,264,New Orleans Pelicans,Chicago Bulls,W,11/04/2017,265,35,87,0.402,9,31,0.29,17,22,0.773,5,47,52,23,9,4,13,9,96,6,regular season
265,265,265,265,265,Chicago Bulls,New Orleans Pelicans,L,11/04/2017,265,35,99,0.354,11,42,0.262,9,12,0.75,16,42,58,23,10,5,17,19,90,-6,regular season
266,266,266,266,266,Dallas Mavericks,Minnesota Timberwolves,L,11/04/2017,240,40,87,0.46,10,27,0.37,9,12,0.75,7,24,31,18,7,2,15,19,99,-13,regular season
267,267,267,267,267,Minnesota Timberwolves,Dallas Mavericks,W,11/04/2017,240,43,79,0.544,10,24,0.417,16,20,0.8,10,38,48,33,7,9,18,20,112,13,regular season
268,268,268,268,268,Golden State Warriors,Denver Nuggets,W,11/04/2017,240,50,91,0.5489999999999999,18,40,0.45,9,17,0.529,7,34,41,38,13,4,13,23,127,19,regular season
269,269,269,269,269,Denver Nuggets,Golden State Warriors,L,11/04/2017,240,40,87,0.46,6,24,0.25,22,27,0.815,9,37,46,26,9,6,17,18,108,-19,regular season
270,270,270,270,270,Atlanta Hawks,Cleveland Cavaliers,W,11/05/2017,240,41,86,0.477,11,25,0.44,24,34,0.706,11,33,44,24,4,6,17,20,117,2,regular season
