,Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Boston Celtics,,Marcus Smart,Cleveland Cavaliers,L,10/17/2017,35:03,5,16,.313,0,4,.000,2,3,.667,0,9,9,3,2,2,2,2,12,-8
1,Boston Celtics,,Terry Rozier,Cleveland Cavaliers,L,10/17/2017,19:32,2,6,.333,1,3,.333,4,4,1.000,0,3,3,2,4,0,0,0,9,+2
2,Boston Celtics,,Aron Baynes,Cleveland Cavaliers,L,10/17/2017,19:06,2,2,1.000,0,0,,2,4,.500,2,3,5,1,0,1,2,5,6,-14
3,Boston Celtics,,Semi Ojeleye,Cleveland Cavaliers,L,10/17/2017,8:39,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-12
4,Boston Celtics,,Shane Larkin,Cleveland Cavaliers,L,10/17/2017,4:49,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,+2
5,Cleveland Cavaliers,,J.R. Smith,Boston Celtics,W,10/17/2017,21:55,4,7,.571,1,3,.333,1,1,1.000,0,4,4,1,0,0,0,4,10,+7
6,Cleveland Cavaliers,,Tristan Thompson,Boston Celtics,W,10/17/2017,19:36,2,3,.667,0,0,,1,3,.333,1,5,6,2,0,0,2,3,5,+5
7,Cleveland Cavaliers,,Jeff Green,Boston Celtics,W,10/17/2017,14:14,3,8,.375,0,1,.000,0,0,,0,0,0,0,0,0,1,3,6,0
8,Cleveland Cavaliers,,Iman Shumpert,Boston Celtics,W,10/17/2017,12:51,2,3,.667,0,0,,0,0,,1,1,2,0,1,0,1,3,4,+9
9,Cleveland Cavaliers,,Kyle Korver,Boston Celtics,W,10/17/2017,7:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1
10,Houston Rockets,,Eric Gordon,Golden State Warriors,W,10/17/2017,29:23,9,16,.563,0,6,.000,6,8,.750,0,1,1,1,1,2,2,1,24,+16
11,Houston Rockets,,P.J. Tucker,Golden State Warriors,W,10/17/2017,28:40,6,9,.667,4,6,.667,4,6,.667,1,5,6,0,1,0,1,3,20,+20
12,Houston Rockets,,Luc Mbah a Moute,Golden State Warriors,W,10/17/2017,23:23,6,9,.667,2,3,.667,0,0,,2,2,4,0,0,0,2,1,14,+4
13,Golden State Warriors,,Nick Young,Houston Rockets,L,10/17/2017,26:10,8,9,.889,6,7,.857,1,1,1.000,1,1,2,0,0,0,1,4,23,-10
14,Golden State Warriors,,Patrick McCaw,Houston Rockets,L,10/17/2017,18:39,2,3,.667,0,0,,0,0,,1,2,3,1,1,1,0,1,4,-9
15,Golden State Warriors,,Shaun Livingston,Houston Rockets,L,10/17/2017,18:33,2,5,.400,0,0,,2,2,1.000,1,0,1,5,0,0,1,2,6,-8
16,Golden State Warriors,,Jordan Bell,Houston Rockets,L,10/17/2017,11:46,4,5,.800,0,0,,0,0,,0,1,1,1,0,0,1,4,8,-2
17,Golden State Warriors,,David West,Houston Rockets,L,10/17/2017,9:25,2,3,.667,0,0,,0,0,,1,0,1,0,0,1,1,0,4,0
18,Golden State Warriors,,Kevon Looney,Houston Rockets,L,10/17/2017,7:46,0,0,,0,0,,1,2,.500,0,2,2,0,1,0,0,2,1,-7
19,Golden State Warriors,,Omri Casspi,Houston Rockets,L,10/17/2017,4:28,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,-4
20,Charlotte Hornets,,Cody Zeller,Detroit Pistons,L,10/18/2017,23:24,3,5,.600,0,0,,2,2,1.000,1,8,9,0,0,1,2,2,8,-4
21,Charlotte Hornets,,Frank Kaminsky,Detroit Pistons,L,10/18/2017,23:12,1,9,.111,0,5,.000,2,2,1.000,0,4,4,2,0,0,0,0,4,-6
22,Charlotte Hornets,,Malik Monk,Detroit Pistons,L,10/18/2017,21:28,1,9,.111,1,6,.167,0,0,,0,0,0,1,0,0,3,1,3,-8
