,Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Boston Celtics,,Jaylen Brown,Cleveland Cavaliers,L,10/17/2017,39:36,11,23,.478,2,9,.222,1,2,.500,1,5,6,0,2,0,3,5,25,-5
1,Boston Celtics,,Kyrie Irving,Cleveland Cavaliers,L,10/17/2017,39:21,8,17,.471,4,9,.444,2,2,1.000,2,2,4,10,3,0,2,4,22,+1
2,Boston Celtics,,Jayson Tatum,Cleveland Cavaliers,L,10/17/2017,36:32,5,12,.417,1,2,.500,3,3,1.000,4,6,10,3,0,0,1,4,14,+8
3,Boston Celtics,,Al Horford,Cleveland Cavaliers,L,10/17/2017,32:07,2,7,.286,0,2,.000,5,7,.714,0,7,7,5,0,1,0,2,9,+8
4,Boston Celtics,,Gordon Hayward,Cleveland Cavaliers,L,10/17/2017,5:15,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,+3
5,Cleveland Cavaliers,,LeBron James,Boston Celtics,W,10/17/2017,41:12,12,19,.632,1,5,.200,4,4,1.000,1,15,16,9,0,2,4,3,29,0
6,Cleveland Cavaliers,,Jae Crowder,Boston Celtics,W,10/17/2017,34:44,3,10,.300,1,5,.200,4,4,1.000,1,4,5,2,2,0,1,2,11,+5
7,Cleveland Cavaliers,,Derrick Rose,Boston Celtics,W,10/17/2017,31:15,5,14,.357,1,3,.333,3,4,.750,1,3,4,2,0,0,2,2,14,-7
8,Cleveland Cavaliers,,Dwyane Wade,Boston Celtics,W,10/17/2017,28:30,3,10,.300,0,1,.000,2,2,1.000,1,1,2,3,0,2,4,1,8,-1
9,Cleveland Cavaliers,,Kevin Love,Boston Celtics,W,10/17/2017,28:24,4,9,.444,1,4,.250,6,7,.857,3,8,11,0,0,0,2,2,15,-2
10,Houston Rockets,,Trevor Ariza,Golden State Warriors,W,10/17/2017,37:39,3,9,.333,2,5,.400,0,0,,1,5,6,5,2,0,1,2,8,-8
11,Houston Rockets,,James Harden,Golden State Warriors,W,10/17/2017,36:24,10,23,.435,4,9,.444,3,4,.750,1,5,6,11,1,0,3,2,27,+1
12,Houston Rockets,,Ryan Anderson,Golden State Warriors,W,10/17/2017,33:17,5,12,.417,3,8,.375,0,0,,3,5,8,1,1,1,0,3,13,+8
13,Houston Rockets,,Chris Paul,Golden State Warriors,W,10/17/2017,33:04,2,9,.222,0,4,.000,0,0,,1,7,8,10,2,1,1,4,4,-13
14,Houston Rockets,,Clint Capela,Golden State Warriors,W,10/17/2017,18:10,6,10,.600,0,0,,0,1,.000,1,3,4,0,1,1,2,0,12,-23
15,Golden State Warriors,,Klay Thompson,Houston Rockets,L,10/17/2017,38:09,6,14,.429,4,7,.571,0,0,,0,6,6,3,2,2,1,0,16,0
16,Golden State Warriors,,Kevin Durant,Houston Rockets,L,10/17/2017,37:38,7,15,.467,2,5,.400,4,5,.800,1,4,5,7,0,4,8,4,20,+11
17,Golden State Warriors,,Stephen Curry,Houston Rockets,L,10/17/2017,29:33,8,18,.444,3,9,.333,3,3,1.000,0,5,5,4,1,0,2,4,22,+9
18,Golden State Warriors,,Draymond Green,Houston Rockets,L,10/17/2017,27:39,2,6,.333,1,2,.500,4,4,1.000,1,10,11,13,0,0,2,3,9,+7
