,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Thu, Oct 18, 2018",10/18/2018,Miami Heat,L,112,113,0,1,L 1,regular season
1,2,"Sat, Oct 20, 2018",10/20/2018,Toronto Raptors,L,113,117,0,2,L 2,regular season
2,3,"Mon, Oct 22, 2018",10/22/2018,Portland Trail Blazers,W,125,124,1,2,W 1,regular season
3,4,"Wed, Oct 24, 2018",10/24/2018,Golden State Warriors,L,122,144,1,3,L 1,regular season
4,5,"Fri, Oct 26, 2018",10/26/2018,Sacramento Kings,L,112,116,1,4,L 2,regular season
5,6,"Sun, Oct 28, 2018",10/28/2018,Los Angeles Clippers,L,104,136,1,5,L 3,regular season
6,7,"Tue, Oct 30, 2018",10/30/2018,Memphis Grizzlies,L,95,107,1,6,L 4,regular season
7,8,"Fri, Nov 2, 2018",11/02/2018,Oklahoma City Thunder,L,111,134,1,7,L 5,regular season
8,9,"Sun, Nov 4, 2018",11/04/2018,New York Knicks,W,108,95,2,7,W 1,regular season
9,10,"Tue, Nov 6, 2018",11/06/2018,Dallas Mavericks,L,100,119,2,8,L 1,regular season
10,11,"Fri, Nov 9, 2018",11/09/2018,Orlando Magic,L,108,117,2,9,L 2,regular season
11,12,"Sat, Nov 10, 2018",11/10/2018,Miami Heat,W,116,110,3,9,W 1,regular season
12,13,"Mon, Nov 12, 2018",11/12/2018,Orlando Magic,W,117,109,4,9,W 2,regular season
13,14,"Wed, Nov 14, 2018",11/14/2018,Cleveland Cavaliers,W,119,95,5,9,W 3,regular season
14,15,"Fri, Nov 16, 2018",11/16/2018,Brooklyn Nets,L,104,115,5,10,L 1,regular season
15,16,"Sun, Nov 18, 2018",11/18/2018,Portland Trail Blazers,L,109,119,5,11,L 2,regular season
16,17,"Tue, Nov 20, 2018",11/20/2018,Los Angeles Clippers,W,125,118,6,11,W 1,regular season
17,18,"Fri, Nov 23, 2018",11/23/2018,Toronto Raptors,L,107,125,6,12,L 1,regular season
18,19,"Sat, Nov 24, 2018",11/24/2018,New Orleans Pelicans,W,124,114,7,12,W 1,regular season
19,20,"Mon, Nov 26, 2018",11/26/2018,Houston Rockets,W,135,131,8,12,W 2,regular season
20,21,"Wed, Nov 28, 2018",11/28/2018,New Orleans Pelicans,L,104,125,8,13,L 1,regular season
21,22,"Fri, Nov 30, 2018",11/30/2018,Philadelphia 76ers,L,98,123,8,14,L 2,regular season
22,23,"Sat, Dec 1, 2018",12/01/2018,Brooklyn Nets,W,102,88,9,14,W 1,regular season
23,24,"Mon, Dec 3, 2018",12/03/2018,New York Knicks,W,110,107,10,14,W 2,regular season
24,25,"Wed, Dec 5, 2018",12/05/2018,Atlanta Hawks,W,131,117,11,14,W 3,regular season
25,26,"Sat, Dec 8, 2018",12/08/2018,Cleveland Cavaliers,L,101,116,11,15,L 1,regular season
26,27,"Mon, Dec 10, 2018",12/10/2018,Indiana Pacers,L,101,109,11,16,L 2,regular season
27,28,"Wed, Dec 12, 2018",12/12/2018,Boston Celtics,L,125,130,11,17,L 3,regular season
28,29,"Fri, Dec 14, 2018",12/14/2018,Brooklyn Nets,L,118,125,11,18,L 4,regular season
29,30,"Sun, Dec 16, 2018",12/16/2018,Los Angeles Lakers,W,128,110,12,18,W 1,regular season
30,31,"Tue, Dec 18, 2018",12/18/2018,Atlanta Hawks,L,110,118,12,19,L 1,regular season
31,32,"Wed, Dec 19, 2018",12/19/2018,Houston Rockets,L,118,136,12,20,L 2,regular season
32,33,"Sat, Dec 22, 2018",12/22/2018,Phoenix Suns,W,149,146,13,20,W 1,regular season
33,34,"Sun, Dec 23, 2018",12/23/2018,Indiana Pacers,L,89,105,13,21,L 1,regular season
34,35,"Wed, Dec 26, 2018",12/26/2018,Detroit Pistons,L,95,106,13,22,L 2,regular season
35,36,"Fri, Dec 28, 2018",12/28/2018,Chicago Bulls,L,92,101,13,23,L 3,regular season
36,37,"Sat, Dec 29, 2018",12/29/2018,Charlotte Hornets,W,130,126,14,23,W 1,regular season
37,38,"Wed, Jan 2, 2019",01/02/2019,Atlanta Hawks,W,114,98,15,23,W 2,regular season
38,39,"Fri, Jan 4, 2019",01/04/2019,Miami Heat,L,109,115,15,24,L 1,regular season
39,40,"Sun, Jan 6, 2019",01/06/2019,Oklahoma City Thunder,W,116,98,16,24,W 1,regular season
40,41,"Tue, Jan 8, 2019",01/08/2019,Philadelphia 76ers,L,115,132,16,25,L 1,regular season
41,42,"Wed, Jan 9, 2019",01/09/2019,Philadelphia 76ers,W,123,106,17,25,W 1,regular season
42,43,"Fri, Jan 11, 2019",01/11/2019,Milwaukee Bucks,W,113,106,18,25,W 2,regular season
43,44,"Sun, Jan 13, 2019",01/13/2019,Toronto Raptors,L,138,140,18,26,L 1,regular season
44,45,"Thu, Jan 17, 2019",01/17/2019,New York Knicks,W,101,100,19,26,W 1,regular season
45,46,"Mon, Jan 21, 2019",01/21/2019,Detroit Pistons,W,101,87,20,26,W 2,regular season
46,47,"Thu, Jan 24, 2019",01/24/2019,Golden State Warriors,L,118,126,20,27,L 1,regular season
47,48,"Fri, Jan 25, 2019",01/25/2019,Orlando Magic,W,95,91,21,27,W 1,regular season
48,49,"Sun, Jan 27, 2019",01/27/2019,San Antonio Spurs,L,119,132,21,28,L 1,regular season
49,50,"Tue, Jan 29, 2019",01/29/2019,Cleveland Cavaliers,L,113,116,21,29,L 2,regular season
50,51,"Wed, Jan 30, 2019",01/30/2019,Indiana Pacers,W,107,89,22,29,W 1,regular season
51,52,"Sat, Feb 2, 2019",02/02/2019,Milwaukee Bucks,L,115,131,22,30,L 1,regular season
52,53,"Mon, Feb 4, 2019",02/04/2019,Atlanta Hawks,L,129,137,22,31,L 2,regular season
53,54,"Wed, Feb 6, 2019",02/06/2019,Milwaukee Bucks,L,129,148,22,32,L 3,regular season
54,55,"Fri, Feb 8, 2019",02/08/2019,Cleveland Cavaliers,W,119,106,23,32,W 1,regular season
55,56,"Sat, Feb 9, 2019",02/09/2019,Chicago Bulls,W,134,125,24,32,W 2,regular season
56,57,"Mon, Feb 11, 2019",02/11/2019,Detroit Pistons,L,112,121,24,33,L 1,regular season
57,58,"Wed, Feb 13, 2019",02/13/2019,Toronto Raptors,L,120,129,24,34,L 2,regular season
58,59,"Fri, Feb 22, 2019",02/22/2019,Charlotte Hornets,L,110,123,24,35,L 3,regular season
59,60,"Sat, Feb 23, 2019",02/23/2019,Indiana Pacers,L,112,119,24,36,L 4,regular season
60,61,"Wed, Feb 27, 2019",02/27/2019,Brooklyn Nets,W,125,116,25,36,W 1,regular season
61,62,"Fri, Mar 1, 2019",03/01/2019,Boston Celtics,L,96,107,25,37,L 1,regular season
62,63,"Sun, Mar 3, 2019",03/03/2019,Minnesota Timberwolves,W,135,121,26,37,W 1,regular season
63,64,"Wed, Mar 6, 2019",03/06/2019,Dallas Mavericks,W,132,123,27,37,W 2,regular season
64,65,"Fri, Mar 8, 2019",03/08/2019,Charlotte Hornets,L,111,112,27,38,L 1,regular season
65,66,"Sat, Mar 9, 2019",03/09/2019,Minnesota Timberwolves,L,130,135,27,39,L 2,regular season
66,67,"Mon, Mar 11, 2019",03/11/2019,Sacramento Kings,W,121,115,28,39,W 1,regular season
67,68,"Wed, Mar 13, 2019",03/13/2019,Orlando Magic,W,100,90,29,39,W 2,regular season
68,69,"Fri, Mar 15, 2019",03/15/2019,Charlotte Hornets,L,110,116,29,40,L 1,regular season
69,70,"Sat, Mar 16, 2019",03/16/2019,Memphis Grizzlies,W,135,128,30,40,W 1,regular season
70,71,"Mon, Mar 18, 2019",03/18/2019,Utah Jazz,L,95,116,30,41,L 1,regular season
71,72,"Wed, Mar 20, 2019",03/20/2019,Chicago Bulls,L,120,126,30,42,L 2,regular season
72,73,"Thu, Mar 21, 2019",03/21/2019,Denver Nuggets,L,108,113,30,43,L 3,regular season
73,74,"Sat, Mar 23, 2019",03/23/2019,Miami Heat,L,108,113,30,44,L 4,regular season
74,75,"Tue, Mar 26, 2019",03/26/2019,Los Angeles Lakers,L,106,124,30,45,L 5,regular season
75,76,"Wed, Mar 27, 2019",03/27/2019,Phoenix Suns,W,124,121,31,45,W 1,regular season
76,77,"Fri, Mar 29, 2019",03/29/2019,Utah Jazz,L,124,128,31,46,L 1,regular season
77,78,"Sun, Mar 31, 2019",03/31/2019,Denver Nuggets,W,95,90,32,46,W 1,regular season
78,79,"Wed, Apr 3, 2019",04/03/2019,Chicago Bulls,L,114,115,32,47,L 1,regular season
79,80,"Fri, Apr 5, 2019",04/05/2019,San Antonio Spurs,L,112,129,32,48,L 2,regular season
80,81,"Sun, Apr 7, 2019",04/07/2019,New York Knicks,L,110,113,32,49,L 3,regular season
81,82,"Tue, Apr 9, 2019",04/09/2019,Boston Celtics,L,110,116,32,50,L 4,regular season
