,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Wed, Oct 17, 2018",10/17/2018,Indiana Pacers,L,83,111,0,1,L 1,regular season
1,2,"Fri, Oct 19, 2018",10/19/2018,Atlanta Hawks,W,131,117,1,1,W 1,regular season
2,3,"Mon, Oct 22, 2018",10/22/2018,Utah Jazz,W,92,84,2,1,W 2,regular season
3,4,"Wed, Oct 24, 2018",10/24/2018,Sacramento Kings,L,92,97,2,2,L 1,regular season
4,5,"Sat, Oct 27, 2018",10/27/2018,Phoenix Suns,W,117,96,3,2,W 1,regular season
5,6,"Tue, Oct 30, 2018",10/30/2018,Washington Wizards,W,107,95,4,2,W 2,regular season
6,7,"Fri, Nov 2, 2018",11/02/2018,Utah Jazz,W,110,100,5,2,W 3,regular season
7,8,"Sun, Nov 4, 2018",11/04/2018,Phoenix Suns,L,100,102,5,3,L 1,regular season
8,9,"Mon, Nov 5, 2018",11/05/2018,Golden State Warriors,L,101,117,5,4,L 2,regular season
9,10,"Wed, Nov 7, 2018",11/07/2018,Denver Nuggets,W,89,87,6,4,W 1,regular season
10,11,"Sat, Nov 10, 2018",11/10/2018,Philadelphia 76ers,W,112,106,7,4,W 2,regular season
11,12,"Mon, Nov 12, 2018",11/12/2018,Utah Jazz,L,88,96,7,5,L 1,regular season
12,13,"Wed, Nov 14, 2018",11/14/2018,Milwaukee Bucks,W,116,113,8,5,W 1,regular season
13,14,"Fri, Nov 16, 2018",11/16/2018,Sacramento Kings,W,112,104,9,5,W 2,regular season
14,15,"Sun, Nov 18, 2018",11/18/2018,Minnesota Timberwolves,W,100,87,10,5,W 3,regular season
15,16,"Mon, Nov 19, 2018",11/19/2018,Dallas Mavericks,W,98,88,11,5,W 4,regular season
16,17,"Wed, Nov 21, 2018",11/21/2018,San Antonio Spurs,W,104,103,12,5,W 5,regular season
17,18,"Fri, Nov 23, 2018",11/23/2018,Los Angeles Clippers,L,107,112,12,6,L 1,regular season
18,19,"Sun, Nov 25, 2018",11/25/2018,New York Knicks,L,98,103,12,7,L 2,regular season
19,20,"Tue, Nov 27, 2018",11/27/2018,Toronto Raptors,L,114,122,12,8,L 3,regular season
20,21,"Fri, Nov 30, 2018",11/30/2018,Brooklyn Nets,W,131,125,13,8,W 1,regular season
21,22,"Sun, Dec 2, 2018",12/02/2018,Philadelphia 76ers,L,95,103,13,9,L 1,regular season
22,23,"Wed, Dec 5, 2018",12/05/2018,Los Angeles Clippers,W,96,86,14,9,W 1,regular season
23,24,"Fri, Dec 7, 2018",12/07/2018,New Orleans Pelicans,W,107,103,15,9,W 2,regular season
24,25,"Sat, Dec 8, 2018",12/08/2018,Los Angeles Lakers,L,88,111,15,10,L 1,regular season
25,26,"Mon, Dec 10, 2018",12/10/2018,Denver Nuggets,L,99,105,15,11,L 2,regular season
26,27,"Wed, Dec 12, 2018",12/12/2018,Portland Trail Blazers,W,92,83,16,11,W 1,regular season
27,28,"Fri, Dec 14, 2018",12/14/2018,Miami Heat,L,97,100,16,12,L 1,regular season
28,29,"Sat, Dec 15, 2018",12/15/2018,Houston Rockets,L,97,105,16,13,L 2,regular season
29,30,"Mon, Dec 17, 2018",12/17/2018,Golden State Warriors,L,93,110,16,14,L 3,regular season
30,31,"Wed, Dec 19, 2018",12/19/2018,Portland Trail Blazers,L,92,99,16,15,L 4,regular season
31,32,"Fri, Dec 21, 2018",12/21/2018,Sacramento Kings,L,99,102,16,16,L 5,regular season
32,33,"Sun, Dec 23, 2018",12/23/2018,Los Angeles Lakers,W,107,99,17,16,W 1,regular season
33,34,"Wed, Dec 26, 2018",12/26/2018,Cleveland Cavaliers,W,95,87,18,16,W 2,regular season
34,35,"Sat, Dec 29, 2018",12/29/2018,Boston Celtics,L,103,112,18,17,L 1,regular season
35,36,"Mon, Dec 31, 2018",12/31/2018,Houston Rockets,L,101,113,18,18,L 2,regular season
36,37,"Wed, Jan 2, 2019",01/02/2019,Detroit Pistons,L,94,101,18,19,L 3,regular season
37,38,"Fri, Jan 4, 2019",01/04/2019,Brooklyn Nets,L,100,109,18,20,L 4,regular season
38,39,"Sat, Jan 5, 2019",01/05/2019,San Antonio Spurs,L,88,108,18,21,L 5,regular season
39,40,"Mon, Jan 7, 2019",01/07/2019,New Orleans Pelicans,L,95,114,18,22,L 6,regular season
40,41,"Wed, Jan 9, 2019",01/09/2019,San Antonio Spurs,W,96,86,19,22,W 1,regular season
41,42,"Sat, Jan 12, 2019",01/12/2019,Miami Heat,L,108,112,19,23,L 1,regular season
42,43,"Mon, Jan 14, 2019",01/14/2019,Houston Rockets,L,94,112,19,24,L 2,regular season
43,44,"Wed, Jan 16, 2019",01/16/2019,Milwaukee Bucks,L,101,111,19,25,L 3,regular season
44,45,"Fri, Jan 18, 2019",01/18/2019,Boston Celtics,L,116,122,19,26,L 4,regular season
45,46,"Sat, Jan 19, 2019",01/19/2019,Toronto Raptors,L,90,119,19,27,L 5,regular season
46,47,"Mon, Jan 21, 2019",01/21/2019,New Orleans Pelicans,L,85,105,19,28,L 6,regular season
47,48,"Wed, Jan 23, 2019",01/23/2019,Charlotte Hornets,L,107,118,19,29,L 7,regular season
48,49,"Fri, Jan 25, 2019",01/25/2019,Sacramento Kings,L,96,99,19,30,L 8,regular season
49,50,"Sat, Jan 26, 2019",01/26/2019,Indiana Pacers,W,106,103,20,30,W 1,regular season
50,51,"Mon, Jan 28, 2019",01/28/2019,Denver Nuggets,L,92,95,20,31,L 1,regular season
51,52,"Wed, Jan 30, 2019",01/30/2019,Minnesota Timberwolves,L,97,99,20,32,L 2,regular season
52,53,"Fri, Feb 1, 2019",02/01/2019,Charlotte Hornets,L,92,100,20,33,L 3,regular season
53,54,"Sun, Feb 3, 2019",02/03/2019,New York Knicks,W,96,84,21,33,W 1,regular season
54,55,"Tue, Feb 5, 2019",02/05/2019,Minnesota Timberwolves,W,108,106,22,33,W 2,regular season
55,56,"Thu, Feb 7, 2019",02/07/2019,Oklahoma City Thunder,L,95,117,22,34,L 1,regular season
56,57,"Sat, Feb 9, 2019",02/09/2019,New Orleans Pelicans,W,99,90,23,34,W 1,regular season
57,58,"Tue, Feb 12, 2019",02/12/2019,San Antonio Spurs,L,107,108,23,35,L 1,regular season
58,59,"Wed, Feb 13, 2019",02/13/2019,Chicago Bulls,L,110,122,23,36,L 2,regular season
59,60,"Fri, Feb 22, 2019",02/22/2019,Los Angeles Clippers,L,106,112,23,37,L 3,regular season
60,61,"Sat, Feb 23, 2019",02/23/2019,Cleveland Cavaliers,L,107,112,23,38,L 4,regular season
61,62,"Mon, Feb 25, 2019",02/25/2019,Los Angeles Lakers,W,110,105,24,38,W 1,regular season
62,63,"Wed, Feb 27, 2019",02/27/2019,Chicago Bulls,L,107,109,24,39,L 1,regular season
63,64,"Sat, Mar 2, 2019",03/02/2019,Dallas Mavericks,W,111,81,25,39,W 1,regular season
64,65,"Sun, Mar 3, 2019",03/03/2019,Oklahoma City Thunder,L,95,99,25,40,L 1,regular season
65,66,"Tue, Mar 5, 2019",03/05/2019,Portland Trail Blazers,W,120,111,26,40,W 1,regular season
66,67,"Fri, Mar 8, 2019",03/08/2019,Utah Jazz,W,114,104,27,40,W 2,regular season
67,68,"Sun, Mar 10, 2019",03/10/2019,Orlando Magic,W,105,97,28,40,W 3,regular season
68,69,"Wed, Mar 13, 2019",03/13/2019,Atlanta Hawks,L,111,132,28,41,L 1,regular season
69,70,"Sat, Mar 16, 2019",03/16/2019,Washington Wizards,L,128,135,28,42,L 2,regular season
70,71,"Wed, Mar 20, 2019",03/20/2019,Houston Rockets,W,126,125,29,42,W 1,regular season
71,72,"Fri, Mar 22, 2019",03/22/2019,Orlando Magic,L,119,123,29,43,L 1,regular season
72,73,"Sat, Mar 23, 2019",03/23/2019,Minnesota Timberwolves,L,99,112,29,44,L 2,regular season
73,74,"Mon, Mar 25, 2019",03/25/2019,Oklahoma City Thunder,W,115,103,30,44,W 1,regular season
74,75,"Wed, Mar 27, 2019",03/27/2019,Golden State Warriors,L,103,118,30,45,L 1,regular season
75,76,"Sat, Mar 30, 2019",03/30/2019,Phoenix Suns,W,120,115,31,45,W 1,regular season
76,77,"Sun, Mar 31, 2019",03/31/2019,Los Angeles Clippers,L,96,113,31,46,L 1,regular season
77,78,"Wed, Apr 3, 2019",04/03/2019,Portland Trail Blazers,L,89,116,31,47,L 2,regular season
78,79,"Fri, Apr 5, 2019",04/05/2019,Dallas Mavericks,W,122,112,32,47,W 1,regular season
79,80,"Sun, Apr 7, 2019",04/07/2019,Dallas Mavericks,L,127,129,32,48,L 1,regular season
80,81,"Tue, Apr 9, 2019",04/09/2019,Detroit Pistons,L,93,100,32,49,L 2,regular season
81,82,"Wed, Apr 10, 2019",04/10/2019,Golden State Warriors,W,132,117,33,49,W 1,regular season
