,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
58,59,"Sat, Feb 23, 2019",02/23/2019,Brooklyn Nets,L,115,117,28,31,L 1,regular season
59,60,"Mon, Feb 25, 2019",02/25/2019,Golden State Warriors,L,110,121,28,32,L 2,regular season
60,61,"Wed, Feb 27, 2019",02/27/2019,Houston Rockets,L,113,118,28,33,L 3,regular season
61,62,"Fri, Mar 1, 2019",03/01/2019,Brooklyn Nets,W,123,112,29,33,W 1,regular season
62,63,"Sun, Mar 3, 2019",03/03/2019,Portland Trail Blazers,L,108,118,29,34,L 1,regular season
63,64,"Wed, Mar 6, 2019",03/06/2019,Miami Heat,L,84,91,29,35,L 2,regular season
64,65,"Fri, Mar 8, 2019",03/08/2019,Washington Wizards,W,112,111,30,35,W 1,regular season
65,66,"Sat, Mar 9, 2019",03/09/2019,Milwaukee Bucks,L,114,131,30,36,L 1,regular season
66,67,"Mon, Mar 11, 2019",03/11/2019,Houston Rockets,L,106,118,30,37,L 2,regular season
67,68,"Fri, Mar 15, 2019",03/15/2019,Washington Wizards,W,116,110,31,37,W 1,regular season
68,69,"Sun, Mar 17, 2019",03/17/2019,Miami Heat,L,75,93,31,38,L 1,regular season
69,70,"Tue, Mar 19, 2019",03/19/2019,Philadelphia 76ers,L,114,118,31,39,L 2,regular season
70,71,"Thu, Mar 21, 2019",03/21/2019,Minnesota Timberwolves,W,113,106,32,39,W 1,regular season
71,72,"Sat, Mar 23, 2019",03/23/2019,Boston Celtics,W,124,117,33,39,W 2,regular season
72,73,"Sun, Mar 24, 2019",03/24/2019,Toronto Raptors,W,115,114,34,39,W 3,regular season
73,74,"Tue, Mar 26, 2019",03/26/2019,San Antonio Spurs,W,125,116,35,39,W 4,regular season
74,75,"Fri, Mar 29, 2019",03/29/2019,Los Angeles Lakers,L,115,129,35,40,L 1,regular season
75,76,"Sun, Mar 31, 2019",03/31/2019,Golden State Warriors,L,90,137,35,41,L 2,regular season
76,77,"Mon, Apr 1, 2019",04/01/2019,Utah Jazz,L,102,111,35,42,L 3,regular season
77,78,"Wed, Apr 3, 2019",04/03/2019,New Orleans Pelicans,W,115,109,36,42,W 1,regular season
78,79,"Fri, Apr 5, 2019",04/05/2019,Toronto Raptors,W,113,111,37,42,W 2,regular season
79,80,"Sun, Apr 7, 2019",04/07/2019,Detroit Pistons,W,104,91,38,42,W 3,regular season
80,81,"Tue, Apr 9, 2019",04/09/2019,Cleveland Cavaliers,W,124,97,39,42,W 4,regular season
81,82,"Wed, Apr 10, 2019",04/10/2019,Orlando Magic,L,114,122,39,43,L 1,regular season
