,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
58,59,"Thu, Feb 14, 2019",02/14/2019,Oklahoma City Thunder,W,131,122,26,33,W 1,regular season
59,60,"Fri, Feb 22, 2019",02/22/2019,Indiana Pacers,L,111,126,26,34,L 1,regular season
60,61,"Sat, Feb 23, 2019",02/23/2019,Los Angeles Lakers,W,128,115,27,34,W 1,regular season
61,62,"Mon, Feb 25, 2019",02/25/2019,Philadelphia 76ers,L,110,111,27,35,L 1,regular season
62,63,"Wed, Feb 27, 2019",02/27/2019,Los Angeles Lakers,L,119,125,27,36,L 2,regular season
63,64,"Fri, Mar 1, 2019",03/01/2019,Phoenix Suns,W,130,116,28,36,W 1,regular season
64,65,"Sat, Mar 2, 2019",03/02/2019,Denver Nuggets,W,120,112,29,36,W 2,regular season
65,66,"Mon, Mar 4, 2019",03/04/2019,Utah Jazz,W,115,112,30,36,W 3,regular season
66,67,"Wed, Mar 6, 2019",03/06/2019,Utah Jazz,L,104,114,30,37,L 1,regular season
67,68,"Fri, Mar 8, 2019",03/08/2019,Toronto Raptors,L,104,127,30,38,L 2,regular season
68,69,"Sun, Mar 10, 2019",03/10/2019,Atlanta Hawks,L,116,128,30,39,L 3,regular season
69,70,"Tue, Mar 12, 2019",03/12/2019,Milwaukee Bucks,L,113,130,30,40,L 4,regular season
70,71,"Fri, Mar 15, 2019",03/15/2019,Portland Trail Blazers,L,110,122,30,41,L 5,regular season
71,72,"Sat, Mar 16, 2019",03/16/2019,Phoenix Suns,L,136,138,30,42,L 6,regular season
72,73,"Mon, Mar 18, 2019",03/18/2019,Dallas Mavericks,W,129,125,31,42,W 1,regular season
73,74,"Wed, Mar 20, 2019",03/20/2019,Orlando Magic,L,96,119,31,43,L 1,regular season
74,75,"Sun, Mar 24, 2019",03/24/2019,Houston Rockets,L,90,113,31,44,L 2,regular season
75,76,"Tue, Mar 26, 2019",03/26/2019,Atlanta Hawks,L,120,130,31,45,L 3,regular season
76,77,"Thu, Mar 28, 2019",03/28/2019,Sacramento Kings,W,121,118,32,45,W 1,regular season
77,78,"Sun, Mar 31, 2019",03/31/2019,Los Angeles Lakers,L,102,130,32,46,L 1,regular season
78,79,"Wed, Apr 3, 2019",04/03/2019,Charlotte Hornets,L,109,115,32,47,L 2,regular season
79,80,"Fri, Apr 5, 2019",04/05/2019,Phoenix Suns,L,126,133,32,48,L 3,regular season
80,81,"Sun, Apr 7, 2019",04/07/2019,Sacramento Kings,W,133,129,33,48,W 1,regular season
81,82,"Tue, Apr 9, 2019",04/09/2019,Golden State Warriors,L,103,112,33,49,L 1,regular season
