,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
58,59,"Sat, Feb 23, 2019",02/23/2019,Utah Jazz,L,109,125,26,33,L 4,regular season
59,60,"Mon, Feb 25, 2019",02/25/2019,Los Angeles Clippers,L,112,121,26,34,L 5,regular season
60,61,"Wed, Feb 27, 2019",02/27/2019,Indiana Pacers,W,110,101,27,34,W 1,regular season
61,62,"Sat, Mar 2, 2019",03/02/2019,Memphis Grizzlies,L,81,111,27,35,L 1,regular season
62,63,"Mon, Mar 4, 2019",03/04/2019,Brooklyn Nets,L,88,127,27,36,L 2,regular season
63,64,"Wed, Mar 6, 2019",03/06/2019,Washington Wizards,L,123,132,27,37,L 3,regular season
64,65,"Fri, Mar 8, 2019",03/08/2019,Orlando Magic,L,106,111,27,38,L 4,regular season
65,66,"Sun, Mar 10, 2019",03/10/2019,Houston Rockets,L,93,94,27,39,L 5,regular season
66,67,"Tue, Mar 12, 2019",03/12/2019,San Antonio Spurs,L,105,112,27,40,L 6,regular season
67,68,"Thu, Mar 14, 2019",03/14/2019,Denver Nuggets,L,99,100,27,41,L 7,regular season
68,69,"Sat, Mar 16, 2019",03/16/2019,Cleveland Cavaliers,W,121,116,28,41,W 1,regular season
69,70,"Mon, Mar 18, 2019",03/18/2019,New Orleans Pelicans,L,125,129,28,42,L 1,regular season
70,71,"Wed, Mar 20, 2019",03/20/2019,Portland Trail Blazers,L,118,126,28,43,L 2,regular season
71,72,"Thu, Mar 21, 2019",03/21/2019,Sacramento Kings,L,100,116,28,44,L 3,regular season
72,73,"Sat, Mar 23, 2019",03/23/2019,Golden State Warriors,W,126,91,29,44,W 1,regular season
73,74,"Tue, Mar 26, 2019",03/26/2019,Sacramento Kings,L,121,125,29,45,L 1,regular season
74,75,"Thu, Mar 28, 2019",03/28/2019,Miami Heat,L,99,105,29,46,L 2,regular season
75,76,"Sun, Mar 31, 2019",03/31/2019,Oklahoma City Thunder,W,106,103,30,46,W 1,regular season
76,77,"Mon, Apr 1, 2019",04/01/2019,Philadelphia 76ers,W,122,102,31,46,W 2,regular season
77,78,"Wed, Apr 3, 2019",04/03/2019,Minnesota Timberwolves,L,108,110,31,47,L 1,regular season
78,79,"Fri, Apr 5, 2019",04/05/2019,Memphis Grizzlies,L,112,122,31,48,L 2,regular season
79,80,"Sun, Apr 7, 2019",04/07/2019,Memphis Grizzlies,W,129,127,32,48,W 1,regular season
80,81,"Tue, Apr 9, 2019",04/09/2019,Phoenix Suns,W,120,109,33,48,W 2,regular season
81,82,"Wed, Apr 10, 2019",04/10/2019,San Antonio Spurs,L,94,105,33,49,L 1,regular season
