,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
58,59,"Sat, Feb 23, 2019",02/23/2019,Oklahoma City Thunder,W,119,116,31,28,W 1,regular season
59,60,"Mon, Feb 25, 2019",02/25/2019,Minnesota Timberwolves,L,105,112,31,29,L 1,regular season
60,61,"Wed, Feb 27, 2019",02/27/2019,Milwaukee Bucks,L,140,141,31,30,L 2,regular season
61,62,"Fri, Mar 1, 2019",03/01/2019,Los Angeles Clippers,L,109,116,31,31,L 3,regular season
62,63,"Mon, Mar 4, 2019",03/04/2019,New York Knicks,W,115,108,32,31,W 1,regular season
63,64,"Wed, Mar 6, 2019",03/06/2019,Boston Celtics,L,109,111,32,32,L 1,regular season
64,65,"Sat, Mar 9, 2019",03/09/2019,New York Knicks,W,102,94,33,32,W 1,regular season
65,66,"Mon, Mar 11, 2019",03/11/2019,Washington Wizards,L,115,121,33,33,L 1,regular season
66,67,"Thu, Mar 14, 2019",03/14/2019,Boston Celtics,L,120,126,33,34,L 2,regular season
67,68,"Fri, Mar 15, 2019",03/15/2019,Philadelphia 76ers,L,114,123,33,35,L 3,regular season
68,69,"Sun, Mar 17, 2019",03/17/2019,Chicago Bulls,W,129,102,34,35,W 1,regular season
69,70,"Tue, Mar 19, 2019",03/19/2019,Brooklyn Nets,L,121,123,34,36,L 1,regular season
70,71,"Thu, Mar 21, 2019",03/21/2019,Dallas Mavericks,W,116,100,35,36,W 1,regular season
71,72,"Sat, Mar 23, 2019",03/23/2019,Phoenix Suns,W,112,103,36,36,W 2,regular season
72,73,"Sun, Mar 24, 2019",03/24/2019,Los Angeles Lakers,L,106,111,36,37,L 1,regular season
73,74,"Tue, Mar 26, 2019",03/26/2019,Dallas Mavericks,W,125,121,37,37,W 1,regular season
74,75,"Thu, Mar 28, 2019",03/28/2019,New Orleans Pelicans,L,118,121,37,38,L 1,regular season
75,76,"Sat, Mar 30, 2019",03/30/2019,Houston Rockets,L,108,119,37,39,L 2,regular season
76,77,"Sun, Mar 31, 2019",03/31/2019,San Antonio Spurs,W,113,106,38,39,W 1,regular season
77,78,"Tue, Apr 2, 2019",04/02/2019,Houston Rockets,L,105,130,38,40,L 1,regular season
78,79,"Thu, Apr 4, 2019",04/04/2019,Cleveland Cavaliers,W,117,104,39,40,W 1,regular season
79,80,"Fri, Apr 5, 2019",04/05/2019,Utah Jazz,L,98,119,39,41,L 1,regular season
80,81,"Sun, Apr 7, 2019",04/07/2019,New Orleans Pelicans,L,129,133,39,42,L 2,regular season
81,82,"Wed, Apr 10, 2019",04/10/2019,Portland Trail Blazers,L,131,136,39,43,L 3,regular season
