,name,positions,player_url,number,height,weight,team,Year
0,Luke Babbitt,SF,https://www.basketball-reference.com/players/b/babbilu01.html,8,6-9,225,Atlanta Hawks,2018
1,Kent Bazemore,SG,https://www.basketball-reference.com/players/b/bazemke01.html,24,6-4,195,Atlanta Hawks,2018
2,Marco Belinelli,SG,https://www.basketball-reference.com/players/b/belinma01.html,3,6-5,220,Atlanta Hawks,2018
3,DeAndre' Bembry,SF,https://www.basketball-reference.com/players/b/bembrde01.html,95,6-5,210,Atlanta Hawks,2018
4,Nicolas Brussino,SF,https://www.basketball-reference.com/players/b/brussni01.html,16,6-7,195,Atlanta Hawks,2018
5,Tyler Cavanaugh,PF,https://www.basketball-reference.com/players/c/cavanty01.html,34,6-9,238,Atlanta Hawks,2018
6,Antonius Cleveland,SG,https://www.basketball-reference.com/players/c/clevean01.html,0,6-5,195,Atlanta Hawks,2018
7,John Collins,PF,https://www.basketball-reference.com/players/c/collijo01.html,20,6-9,235,Atlanta Hawks,2018
8,Dewayne Dedmon,C,https://www.basketball-reference.com/players/d/dedmode01.html,14,7-0,245,Atlanta Hawks,2018
9,Malcolm Delaney,PG,https://www.basketball-reference.com/players/d/delanma01.html,5,6-3,190,Atlanta Hawks,2018
10,Tyler Dorsey,SG,https://www.basketball-reference.com/players/d/dorsety01.html,2,6-5,183,Atlanta Hawks,2018
11,Jeremy Evans,SF,https://www.basketball-reference.com/players/e/evansje01.html,6,6-9,200,Atlanta Hawks,2018
12,Ersan Ilyasova,PF,https://www.basketball-reference.com/players/i/ilyaser01.html,7,6-9,235,Atlanta Hawks,2018
13,Damion Lee,SG,https://www.basketball-reference.com/players/l/leeda03.html,8,6-5,210,Atlanta Hawks,2018
14,Josh Magette,PG,https://www.basketball-reference.com/players/m/magetjo01.html,11,6-1,160,Atlanta Hawks,2018
15,Jaylen Morris,SG,https://www.basketball-reference.com/players/m/morrija01.html,3,6-5,185,Atlanta Hawks,2018
16,Mike Muscala,C,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Atlanta Hawks,2018
17,Miles Plumlee,C,https://www.basketball-reference.com/players/p/plumlmi01.html,18,6-11,249,Atlanta Hawks,2018
18,Dennis Schroder,PG,https://www.basketball-reference.com/players/s/schrode01.html,17,6-1,172,Atlanta Hawks,2018
19,Isaiah Taylor,PG,https://www.basketball-reference.com/players/t/taylois01.html,22,6-3,170,Atlanta Hawks,2018
20,Taurean Waller-Prince,SF,https://www.basketball-reference.com/players/p/princta02.html,12,6-7,218,Atlanta Hawks,2018
