,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
58,59,"Fri, Feb 28, 2020",02/28/2020,Sacramento Kings,L,101,104,28,31,L 5,regular season
59,60,"Sat, Feb 29, 2020",02/29/2020,Los Angeles Lakers,W,105,88,29,31,W 1,regular season
60,61,"Mon, Mar 2, 2020",03/02/2020,Atlanta Hawks,W,127,88,30,31,W 2,regular season
61,62,"Wed, Mar 4, 2020",03/04/2020,Brooklyn Nets,W,118,79,31,31,W 3,regular season
62,63,"Fri, Mar 6, 2020",03/06/2020,Dallas Mavericks,L,96,121,31,32,L 1,regular season
63,64,"Sat, Mar 7, 2020",03/07/2020,Atlanta Hawks,W,118,101,32,32,W 1,regular season
64,65,"Tue, Mar 10, 2020",03/10/2020,Orlando Magic,L,115,120,32,33,L 1,regular season
65,66,"Fri, Jul 31, 2020",07/31/2020,Portland Trail Blazers,L,135,140,32,34,L 2,regular season
66,67,"Sun, Aug 2, 2020",08/02/2020,San Antonio Spurs,L,106,108,32,35,L 3,regular season
67,68,"Mon, Aug 3, 2020",08/03/2020,New Orleans Pelicans,L,99,109,32,36,L 4,regular season
68,69,"Wed, Aug 5, 2020",08/05/2020,Utah Jazz,L,115,124,32,37,L 5,regular season
69,70,"Fri, Aug 7, 2020",08/07/2020,Oklahoma City Thunder,W,121,92,33,37,W 1,regular season
70,71,"Sun, Aug 9, 2020",08/09/2020,Toronto Raptors,L,99,108,33,38,L 1,regular season
71,72,"Tue, Aug 11, 2020",08/11/2020,Boston Celtics,L,107,122,33,39,L 2,regular season
72,73,"Thu, Aug 13, 2020",08/13/2020,Milwaukee Bucks,W,119,106,34,39,W 1,regular season
73,74,"Sat, Aug 15, 2020",08/15/2020,Portland Trail Blazers,L,122,126,34,40,L 1,regular season
