,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Wed, Oct 23, 2019",10/23/2019,Detroit Pistons,L,110,119,0,1,L 1,regular season
1,2,"Sat, Oct 26, 2019",10/26/2019,Cleveland Cavaliers,L,99,110,0,2,L 2,regular season
2,3,"Mon, Oct 28, 2019",10/28/2019,Detroit Pistons,L,94,96,0,3,L 3,regular season
3,4,"Wed, Oct 30, 2019",10/30/2019,Brooklyn Nets,W,118,108,1,3,W 1,regular season
4,5,"Fri, Nov 1, 2019",11/01/2019,Cleveland Cavaliers,W,102,95,2,3,W 2,regular season
5,6,"Sun, Nov 3, 2019",11/03/2019,Chicago Bulls,W,108,95,3,3,W 3,regular season
6,7,"Tue, Nov 5, 2019",11/05/2019,Charlotte Hornets,L,120,122,3,4,L 1,regular season
7,8,"Wed, Nov 6, 2019",11/06/2019,Washington Wizards,W,121,106,4,4,W 1,regular season
8,9,"Fri, Nov 8, 2019",11/08/2019,Detroit Pistons,W,112,106,5,4,W 2,regular season
9,10,"Sun, Nov 10, 2019",11/10/2019,Orlando Magic,W,109,102,6,4,W 3,regular season
10,11,"Tue, Nov 12, 2019",11/12/2019,Oklahoma City Thunder,W,111,85,7,4,W 4,regular season
11,12,"Fri, Nov 15, 2019",11/15/2019,Houston Rockets,L,102,111,7,5,L 1,regular season
12,13,"Sat, Nov 16, 2019",11/16/2019,Milwaukee Bucks,L,83,102,7,6,L 2,regular season
13,14,"Mon, Nov 18, 2019",11/18/2019,Brooklyn Nets,W,115,86,8,6,W 1,regular season
14,15,"Sat, Nov 23, 2019",11/23/2019,Orlando Magic,W,111,106,9,6,W 2,regular season
15,16,"Mon, Nov 25, 2019",11/25/2019,Memphis Grizzlies,W,126,114,10,6,W 3,regular season
16,17,"Wed, Nov 27, 2019",11/27/2019,Utah Jazz,W,121,102,11,6,W 4,regular season
17,18,"Fri, Nov 29, 2019",11/29/2019,Atlanta Hawks,W,105,104,12,6,W 5,regular season
18,19,"Sat, Nov 30, 2019",11/30/2019,Philadelphia 76ers,L,116,119,12,7,L 1,regular season
19,20,"Mon, Dec 2, 2019",12/02/2019,Memphis Grizzlies,W,117,104,13,7,W 1,regular season
20,21,"Wed, Dec 4, 2019",12/04/2019,Oklahoma City Thunder,W,107,100,14,7,W 2,regular season
21,22,"Fri, Dec 6, 2019",12/06/2019,Detroit Pistons,L,101,108,14,8,L 1,regular season
22,23,"Sat, Dec 7, 2019",12/07/2019,New York Knicks,W,104,103,15,8,W 1,regular season
23,24,"Mon, Dec 9, 2019",12/09/2019,Los Angeles Clippers,L,99,110,15,9,L 1,regular season
24,25,"Wed, Dec 11, 2019",12/11/2019,Boston Celtics,W,122,117,16,9,W 1,regular season
25,26,"Fri, Dec 13, 2019",12/13/2019,Atlanta Hawks,W,110,100,17,9,W 2,regular season
26,27,"Sun, Dec 15, 2019",12/15/2019,Charlotte Hornets,W,107,85,18,9,W 3,regular season
27,28,"Tue, Dec 17, 2019",12/17/2019,Los Angeles Lakers,W,105,102,19,9,W 4,regular season
28,29,"Fri, Dec 20, 2019",12/20/2019,Sacramento Kings,W,119,105,20,9,W 5,regular season
29,30,"Sun, Dec 22, 2019",12/22/2019,Milwaukee Bucks,L,89,117,20,10,L 1,regular season
