,Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Philadelphia 76ers,,Ben Simmons,Boston Celtics,L,10/16/2018,42:45,7,14,.500,0,0,,5,10,.500,3,12,15,8,4,2,3,5,19,-8
1,Philadelphia 76ers,,Joel Embiid,Boston Celtics,L,10/16/2018,36:49,9,21,.429,1,4,.250,4,5,.800,2,8,10,2,1,2,5,3,23,-8
2,Philadelphia 76ers,,Robert Covington,Boston Celtics,L,10/16/2018,34:12,3,10,.300,2,7,.286,0,0,,1,5,6,0,2,1,2,1,8,-9
3,Philadelphia 76ers,,Markelle Fultz,Boston Celtics,L,10/16/2018,24:20,2,7,.286,0,0,,1,2,.500,0,3,3,2,1,0,3,1,5,-16
4,Philadelphia 76ers,,Dario Šarić,Boston Celtics,L,10/16/2018,22:55,3,8,.375,0,4,.000,0,0,,0,6,6,1,0,0,3,5,6,-6
5,Boston Celtics,,Al Horford,Philadelphia 76ers,W,10/16/2018,29:57,4,7,.571,0,1,.000,1,1,1.000,0,4,4,2,0,4,3,1,9,+9
6,Boston Celtics,,Kyrie Irving,Philadelphia 76ers,W,10/16/2018,29:00,2,14,.143,1,8,.125,2,2,1.000,0,4,4,7,0,0,3,1,7,+9
7,Boston Celtics,,Jayson Tatum,Philadelphia 76ers,W,10/16/2018,28:56,9,17,.529,1,5,.200,4,5,.800,2,7,9,3,1,0,1,2,23,+6
8,Boston Celtics,,Jaylen Brown,Philadelphia 76ers,W,10/16/2018,28:23,5,13,.385,1,3,.333,1,2,.500,3,2,5,2,0,0,2,4,12,+11
9,Boston Celtics,,Gordon Hayward,Philadelphia 76ers,W,10/16/2018,24:37,4,12,.333,1,3,.333,1,2,.500,2,3,5,0,4,0,0,1,10,+10
10,Philadelphia 76ers,,J.J. Redick,Boston Celtics,L,10/16/2018,29:46,7,17,.412,2,8,.250,0,0,,0,2,2,1,0,0,0,1,16,-10
11,Philadelphia 76ers,,T.J. McConnell,Boston Celtics,L,10/16/2018,22:26,2,5,.400,0,1,.000,0,0,,0,1,1,3,0,0,0,3,4,-11
12,Philadelphia 76ers,,Landry Shamet,Boston Celtics,L,10/16/2018,12:42,0,4,.000,0,2,.000,1,2,.500,0,1,1,0,0,0,0,0,1,-8
13,Philadelphia 76ers,,Amir Johnson,Boston Celtics,L,10/16/2018,11:11,1,1,1.000,0,0,,3,4,.750,0,3,3,1,0,0,0,1,5,-10
14,Philadelphia 76ers,,Jonah Bolden,Boston Celtics,L,10/16/2018,1:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
15,Philadelphia 76ers,,Furkan Korkmaz,Boston Celtics,L,10/16/2018,1:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
16,Boston Celtics,,Terry Rozier,Philadelphia 76ers,W,10/16/2018,26:31,5,10,.500,1,2,.500,0,0,,0,8,8,1,0,1,1,0,11,+22
17,Boston Celtics,,Marcus Smart,Philadelphia 76ers,W,10/16/2018,25:01,2,4,.500,2,4,.500,1,2,.500,0,3,3,3,0,0,2,2,7,+3
18,Boston Celtics,,Marcus Morris,Philadelphia 76ers,W,10/16/2018,20:30,7,12,.583,2,7,.286,0,0,,2,8,10,0,2,0,1,5,16,+3
19,Boston Celtics,,Aron Baynes,Philadelphia 76ers,W,10/16/2018,19:14,3,7,.429,2,4,.500,0,0,,3,1,4,3,0,0,1,3,8,+8
20,Boston Celtics,,Daniel Theis,Philadelphia 76ers,W,10/16/2018,4:08,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+3
21,Boston Celtics,,Semi Ojeleye,Philadelphia 76ers,W,10/16/2018,1:27,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+2
22,Boston Celtics,,Guerschon Yabusele,Philadelphia 76ers,W,10/16/2018,1:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
23,Boston Celtics,,Brad Wanamaker,Philadelphia 76ers,W,10/16/2018,0:49,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+2
24,Oklahoma City Thunder,,Paul George,Golden State Warriors,L,10/16/2018,37:24,9,23,.391,4,12,.333,5,8,.625,0,2,2,5,4,0,5,3,27,-16
25,Oklahoma City Thunder,,Steven Adams,Golden State Warriors,L,10/16/2018,35:36,6,12,.500,0,0,,5,8,.625,4,7,11,4,2,0,2,3,17,-6
26,Oklahoma City Thunder,,Dennis Schröder,Golden State Warriors,L,10/16/2018,34:05,7,19,.368,2,6,.333,5,6,.833,2,6,8,6,3,1,3,4,21,-7
27,Oklahoma City Thunder,,Terrance Ferguson,Golden State Warriors,L,10/16/2018,26:31,0,2,.000,0,2,.000,0,0,,2,2,4,1,0,0,1,3,0,0
28,Oklahoma City Thunder,,Patrick Patterson,Golden State Warriors,L,10/16/2018,18:53,2,9,.222,1,4,.250,2,3,.667,3,2,5,0,1,1,1,0,7,+3
29,Golden State Warriors,,Kevin Durant,Oklahoma City Thunder,W,10/16/2018,37:43,9,21,.429,0,5,.000,9,10,.900,1,7,8,6,1,1,3,4,27,+14
30,Golden State Warriors,,Stephen Curry,Oklahoma City Thunder,W,10/16/2018,36:37,11,20,.550,5,9,.556,5,5,1.000,0,8,8,9,1,0,3,4,32,+15
31,Golden State Warriors,,Klay Thompson,Oklahoma City Thunder,W,10/16/2018,34:59,5,20,.250,1,8,.125,3,3,1.000,1,3,4,0,0,0,2,3,14,+2
32,Golden State Warriors,,Draymond Green,Oklahoma City Thunder,W,10/16/2018,32:45,1,6,.167,0,1,.000,0,0,,1,12,13,5,3,0,6,3,2,+2
33,Golden State Warriors,,Damian Jones,Oklahoma City Thunder,W,10/16/2018,26:33,6,7,.857,0,0,,0,0,,2,1,3,2,0,3,2,4,12,-1
34,Oklahoma City Thunder,,Jerami Grant,Golden State Warriors,L,10/16/2018,29:07,2,7,.286,1,4,.250,2,4,.500,2,0,2,2,0,3,0,1,7,-11
35,Oklahoma City Thunder,,Álex Abrines,Golden State Warriors,L,10/16/2018,23:28,3,8,.375,2,6,.333,0,0,,0,2,2,0,0,0,0,2,8,-5
36,Oklahoma City Thunder,,Raymond Felton,Golden State Warriors,L,10/16/2018,13:55,1,5,.200,0,3,.000,4,5,.800,0,3,3,1,0,0,2,0,6,-1
37,Oklahoma City Thunder,,Nerlens Noel,Golden State Warriors,L,10/16/2018,12:24,1,2,.500,0,0,,1,2,.500,3,4,7,1,1,1,0,3,3,-2
38,Oklahoma City Thunder,,Hamidou Diallo,Golden State Warriors,L,10/16/2018,8:37,2,4,.500,0,0,,0,1,.000,0,1,1,1,1,0,0,2,4,+5
39,Golden State Warriors,,Kevon Looney,Oklahoma City Thunder,W,10/16/2018,18:04,5,11,.455,0,0,,0,0,,8,2,10,2,1,2,1,4,10,+23
40,Golden State Warriors,,Shaun Livingston,Oklahoma City Thunder,W,10/16/2018,14:34,3,5,.600,0,0,,0,0,,2,1,3,1,1,0,1,2,6,-3
41,Golden State Warriors,,Quinn Cook,Oklahoma City Thunder,W,10/16/2018,13:12,1,2,.500,1,1,1.000,0,0,,1,1,2,1,0,0,2,2,3,-7
42,Golden State Warriors,,Andre Iguodala,Oklahoma City Thunder,W,10/16/2018,10:23,1,2,.500,0,1,.000,0,0,,0,2,2,2,0,0,0,0,2,+2
43,Golden State Warriors,,Jordan Bell,Oklahoma City Thunder,W,10/16/2018,6:39,0,0,,0,0,,0,0,,1,1,2,0,0,1,0,1,0,-6
44,Golden State Warriors,,Jonas Jerebko,Oklahoma City Thunder,W,10/16/2018,6:10,0,0,,0,0,,0,0,,0,3,3,0,0,0,1,2,0,0
45,Golden State Warriors,,Alfonzo McKinnie,Oklahoma City Thunder,W,10/16/2018,2:21,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1
46,Milwaukee Bucks,,Malcolm Brogdon,Charlotte Hornets,W,10/17/2018,38:01,4,9,.444,2,6,.333,0,0,,0,3,3,6,1,0,4,3,10,+1
47,Milwaukee Bucks,,Giannis Antetokounmpo,Charlotte Hornets,W,10/17/2018,34:46,9,21,.429,0,3,.000,7,12,.583,3,15,18,8,0,1,8,5,25,+11
48,Milwaukee Bucks,,Eric Bledsoe,Charlotte Hornets,W,10/17/2018,33:32,7,13,.538,3,5,.600,0,0,,2,2,4,3,0,1,2,4,17,+4
49,Milwaukee Bucks,,Khris Middleton,Charlotte Hornets,W,10/17/2018,32:46,7,14,.500,3,6,.500,2,2,1.000,1,8,9,4,2,1,2,3,19,+2
50,Milwaukee Bucks,,Brook Lopez,Charlotte Hornets,W,10/17/2018,21:27,4,7,.571,2,5,.400,4,4,1.000,0,3,3,1,1,0,2,3,14,+8
51,Charlotte Hornets,,Kemba Walker,Milwaukee Bucks,L,10/17/2018,38:39,15,29,.517,7,13,.538,4,5,.800,1,1,2,4,2,0,3,0,41,-1
52,Charlotte Hornets,,Nicolas Batum,Milwaukee Bucks,L,10/17/2018,31:49,2,8,.250,1,4,.250,0,0,,1,6,7,3,2,2,2,1,5,-4
53,Charlotte Hornets,,Marvin Williams,Milwaukee Bucks,L,10/17/2018,25:51,2,7,.286,1,6,.167,0,2,.000,1,8,9,1,0,4,1,2,5,-4
54,Charlotte Hornets,,Cody Zeller,Milwaukee Bucks,L,10/17/2018,21:06,1,1,1.000,1,1,1.000,2,2,1.000,0,3,3,1,1,0,0,3,5,-11
55,Charlotte Hornets,,Jeremy Lamb,Milwaukee Bucks,L,10/17/2018,20:48,4,11,.364,2,4,.500,0,0,,2,0,2,1,1,0,0,2,10,-6
56,Milwaukee Bucks,,Ersan İlyasova,Charlotte Hornets,W,10/17/2018,29:00,6,9,.667,1,3,.333,0,0,,1,8,9,2,0,0,0,6,13,-10
57,Milwaukee Bucks,,Donte DiVincenzo,Charlotte Hornets,W,10/17/2018,22:04,3,6,.500,2,4,.500,0,0,,1,1,2,1,1,0,1,0,8,-9
58,Milwaukee Bucks,,John Henson,Charlotte Hornets,W,10/17/2018,12:00,1,3,.333,0,0,,2,2,1.000,2,4,6,0,0,1,2,1,4,+2
59,Milwaukee Bucks,,Tony Snell,Charlotte Hornets,W,10/17/2018,11:20,0,2,.000,0,1,.000,0,0,,1,1,2,1,0,0,0,0,0,+1
60,Milwaukee Bucks,,Christian Wood,Charlotte Hornets,W,10/17/2018,4:57,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,-3
61,Milwaukee Bucks,,Sterling Brown,Charlotte Hornets,W,10/17/2018,0:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
62,Charlotte Hornets,,Malik Monk,Milwaukee Bucks,L,10/17/2018,33:35,7,16,.438,4,8,.500,0,0,,0,4,4,2,1,2,0,1,18,+5
63,Charlotte Hornets,,Michael Kidd-Gilchrist,Milwaukee Bucks,L,10/17/2018,21:38,3,6,.500,0,0,,4,6,.667,3,3,6,1,0,1,1,3,10,+3
