,Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Philadelphia 76ers,,Ben Simmons,Boston Celtics,L,10/16/2018,42:45,7,14,.500,0,0,,5,10,.500,3,12,15,8,4,2,3,5,19,-8
1,Philadelphia 76ers,,Joel Embiid,Boston Celtics,L,10/16/2018,36:49,9,21,.429,1,4,.250,4,5,.800,2,8,10,2,1,2,5,3,23,-8
2,Philadelphia 76ers,,Robert Covington,Boston Celtics,L,10/16/2018,34:12,3,10,.300,2,7,.286,0,0,,1,5,6,0,2,1,2,1,8,-9
3,Philadelphia 76ers,,Markelle Fultz,Boston Celtics,L,10/16/2018,24:20,2,7,.286,0,0,,1,2,.500,0,3,3,2,1,0,3,1,5,-16
4,Philadelphia 76ers,,Dario Šarić,Boston Celtics,L,10/16/2018,22:55,3,8,.375,0,4,.000,0,0,,0,6,6,1,0,0,3,5,6,-6
5,Boston Celtics,,Al Horford,Philadelphia 76ers,W,10/16/2018,29:57,4,7,.571,0,1,.000,1,1,1.000,0,4,4,2,0,4,3,1,9,+9
6,Boston Celtics,,Kyrie Irving,Philadelphia 76ers,W,10/16/2018,29:00,2,14,.143,1,8,.125,2,2,1.000,0,4,4,7,0,0,3,1,7,+9
7,Boston Celtics,,Jayson Tatum,Philadelphia 76ers,W,10/16/2018,28:56,9,17,.529,1,5,.200,4,5,.800,2,7,9,3,1,0,1,2,23,+6
8,Boston Celtics,,Jaylen Brown,Philadelphia 76ers,W,10/16/2018,28:23,5,13,.385,1,3,.333,1,2,.500,3,2,5,2,0,0,2,4,12,+11
9,Boston Celtics,,Gordon Hayward,Philadelphia 76ers,W,10/16/2018,24:37,4,12,.333,1,3,.333,1,2,.500,2,3,5,0,4,0,0,1,10,+10
10,Oklahoma City Thunder,,Paul George,Golden State Warriors,L,10/16/2018,37:24,9,23,.391,4,12,.333,5,8,.625,0,2,2,5,4,0,5,3,27,-16
11,Oklahoma City Thunder,,Steven Adams,Golden State Warriors,L,10/16/2018,35:36,6,12,.500,0,0,,5,8,.625,4,7,11,4,2,0,2,3,17,-6
12,Oklahoma City Thunder,,Dennis Schröder,Golden State Warriors,L,10/16/2018,34:05,7,19,.368,2,6,.333,5,6,.833,2,6,8,6,3,1,3,4,21,-7
13,Oklahoma City Thunder,,Terrance Ferguson,Golden State Warriors,L,10/16/2018,26:31,0,2,.000,0,2,.000,0,0,,2,2,4,1,0,0,1,3,0,0
14,Oklahoma City Thunder,,Patrick Patterson,Golden State Warriors,L,10/16/2018,18:53,2,9,.222,1,4,.250,2,3,.667,3,2,5,0,1,1,1,0,7,+3
15,Golden State Warriors,,Kevin Durant,Oklahoma City Thunder,W,10/16/2018,37:43,9,21,.429,0,5,.000,9,10,.900,1,7,8,6,1,1,3,4,27,+14
16,Golden State Warriors,,Stephen Curry,Oklahoma City Thunder,W,10/16/2018,36:37,11,20,.550,5,9,.556,5,5,1.000,0,8,8,9,1,0,3,4,32,+15
17,Golden State Warriors,,Klay Thompson,Oklahoma City Thunder,W,10/16/2018,34:59,5,20,.250,1,8,.125,3,3,1.000,1,3,4,0,0,0,2,3,14,+2
18,Golden State Warriors,,Draymond Green,Oklahoma City Thunder,W,10/16/2018,32:45,1,6,.167,0,1,.000,0,0,,1,12,13,5,3,0,6,3,2,+2
19,Golden State Warriors,,Damian Jones,Oklahoma City Thunder,W,10/16/2018,26:33,6,7,.857,0,0,,0,0,,2,1,3,2,0,3,2,4,12,-1
20,Milwaukee Bucks,,Malcolm Brogdon,Charlotte Hornets,W,10/17/2018,38:01,4,9,.444,2,6,.333,0,0,,0,3,3,6,1,0,4,3,10,+1
21,Milwaukee Bucks,,Giannis Antetokounmpo,Charlotte Hornets,W,10/17/2018,34:46,9,21,.429,0,3,.000,7,12,.583,3,15,18,8,0,1,8,5,25,+11
22,Milwaukee Bucks,,Eric Bledsoe,Charlotte Hornets,W,10/17/2018,33:32,7,13,.538,3,5,.600,0,0,,2,2,4,3,0,1,2,4,17,+4
23,Milwaukee Bucks,,Khris Middleton,Charlotte Hornets,W,10/17/2018,32:46,7,14,.500,3,6,.500,2,2,1.000,1,8,9,4,2,1,2,3,19,+2
24,Milwaukee Bucks,,Brook Lopez,Charlotte Hornets,W,10/17/2018,21:27,4,7,.571,2,5,.400,4,4,1.000,0,3,3,1,1,0,2,3,14,+8
25,Charlotte Hornets,,Kemba Walker,Milwaukee Bucks,L,10/17/2018,38:39,15,29,.517,7,13,.538,4,5,.800,1,1,2,4,2,0,3,0,41,-1
26,Charlotte Hornets,,Nicolas Batum,Milwaukee Bucks,L,10/17/2018,31:49,2,8,.250,1,4,.250,0,0,,1,6,7,3,2,2,2,1,5,-4
27,Charlotte Hornets,,Marvin Williams,Milwaukee Bucks,L,10/17/2018,25:51,2,7,.286,1,6,.167,0,2,.000,1,8,9,1,0,4,1,2,5,-4
28,Charlotte Hornets,,Cody Zeller,Milwaukee Bucks,L,10/17/2018,21:06,1,1,1.000,1,1,1.000,2,2,1.000,0,3,3,1,1,0,0,3,5,-11
29,Charlotte Hornets,,Jeremy Lamb,Milwaukee Bucks,L,10/17/2018,20:48,4,11,.364,2,4,.500,0,0,,2,0,2,1,1,0,0,2,10,-6
30,Brooklyn Nets,,Joe Harris,Detroit Pistons,L,10/17/2018,37:08,6,14,.429,1,7,.143,0,0,,0,6,6,5,1,0,2,2,13,-2
31,Brooklyn Nets,,Jared Dudley,Detroit Pistons,L,10/17/2018,35:51,0,5,.000,0,4,.000,1,2,.500,2,1,3,3,3,0,0,5,1,-8
32,Brooklyn Nets,,Caris LeVert,Detroit Pistons,L,10/17/2018,33:59,10,18,.556,0,2,.000,7,8,.875,1,3,4,4,1,1,3,2,27,-10
33,Brooklyn Nets,,Jarrett Allen,Detroit Pistons,L,10/17/2018,30:09,6,10,.600,2,3,.667,3,4,.750,2,8,10,0,0,4,2,4,17,-9
34,Brooklyn Nets,,D'Angelo Russell,Detroit Pistons,L,10/17/2018,24:58,3,9,.333,1,4,.250,1,2,.500,0,2,2,5,1,0,2,1,8,-9
35,Detroit Pistons,,Reggie Jackson,Brooklyn Nets,W,10/17/2018,35:01,7,20,.350,2,9,.222,3,3,1.000,1,1,2,4,1,0,2,1,19,+3
36,Detroit Pistons,,Blake Griffin,Brooklyn Nets,W,10/17/2018,34:17,8,17,.471,1,1,1.000,9,11,.818,2,6,8,6,0,0,1,0,26,+8
37,Detroit Pistons,,Andre Drummond,Brooklyn Nets,W,10/17/2018,32:12,10,21,.476,1,3,.333,3,4,.750,9,11,20,2,0,1,4,5,24,-9
38,Detroit Pistons,,Luke Kennard,Brooklyn Nets,W,10/17/2018,19:21,3,5,.600,1,1,1.000,0,0,,0,4,4,0,0,1,1,1,7,-1
39,Detroit Pistons,,Bruce Brown,Brooklyn Nets,W,10/17/2018,18:52,0,3,.000,0,2,.000,0,0,,0,2,2,1,0,1,1,4,0,+6
40,Memphis Grizzlies,,Marc Gasol,Indiana Pacers,L,10/17/2018,30:11,2,11,.182,2,3,.667,7,8,.875,1,5,6,3,3,0,0,0,13,-8
41,Memphis Grizzlies,,Mike Conley,Indiana Pacers,L,10/17/2018,28:58,3,11,.273,2,5,.400,3,3,1.000,1,1,2,3,1,0,1,1,11,-11
42,Memphis Grizzlies,,JaMychal Green,Indiana Pacers,L,10/17/2018,24:59,4,7,.571,1,2,.500,0,0,,2,5,7,2,2,0,1,2,9,-29
43,Memphis Grizzlies,,Garrett Temple,Indiana Pacers,L,10/17/2018,24:30,4,13,.308,4,8,.500,0,0,,0,0,0,2,0,1,1,4,12,-6
44,Memphis Grizzlies,,Chandler Parsons,Indiana Pacers,L,10/17/2018,22:33,3,9,.333,0,5,.000,0,0,,0,1,1,0,1,1,0,3,6,-19
45,Indiana Pacers,,Thaddeus Young,Memphis Grizzlies,W,10/17/2018,27:43,5,7,.714,0,1,.000,0,1,.000,3,5,8,3,0,1,3,2,10,+23
46,Indiana Pacers,,Bojan Bogdanović,Memphis Grizzlies,W,10/17/2018,27:06,7,9,.778,3,3,1.000,2,2,1.000,0,6,6,0,0,0,3,0,19,+8
47,Indiana Pacers,,Victor Oladipo,Memphis Grizzlies,W,10/17/2018,25:47,6,11,.545,3,6,.500,1,2,.500,0,5,5,5,0,0,3,3,16,+9
48,Indiana Pacers,,Darren Collison,Memphis Grizzlies,W,10/17/2018,21:29,0,5,.000,0,1,.000,0,0,,0,1,1,5,0,0,3,4,0,-1
49,Indiana Pacers,,Myles Turner,Memphis Grizzlies,W,10/17/2018,20:22,4,8,.500,0,0,,0,0,,3,5,8,1,0,4,1,3,8,+7
50,Miami Heat,,Josh Richardson,Orlando Magic,L,10/17/2018,37:35,8,21,.381,2,10,.200,3,3,1.000,1,4,5,3,1,1,3,3,21,-5
51,Miami Heat,,Hassan Whiteside,Orlando Magic,L,10/17/2018,33:35,6,15,.400,0,1,.000,0,1,.000,4,14,18,0,1,2,1,2,12,+4
52,Miami Heat,,Goran Dragić,Orlando Magic,L,10/17/2018,32:54,9,14,.643,3,7,.429,5,7,.714,0,4,4,4,0,1,3,5,26,+20
53,Miami Heat,,Rodney McGruder,Orlando Magic,L,10/17/2018,31:30,2,9,.222,2,5,.400,2,3,.667,0,3,3,3,0,1,1,3,8,+4
54,Miami Heat,,Derrick Jones,Orlando Magic,L,10/17/2018,17:13,2,5,.400,1,2,.500,0,0,,1,1,2,2,0,0,2,6,5,+4
55,Orlando Magic,,Aaron Gordon,Miami Heat,W,10/17/2018,38:18,9,18,.500,4,5,.800,4,6,.667,4,12,16,2,0,0,4,3,26,+9
56,Orlando Magic,,Nikola Vučević,Miami Heat,W,10/17/2018,28:06,4,12,.333,0,0,,4,5,.800,2,6,8,4,1,0,4,2,12,-17
57,Orlando Magic,,Evan Fournier,Miami Heat,W,10/17/2018,23:32,5,15,.333,0,5,.000,3,6,.500,0,2,2,5,1,0,1,4,13,-14
58,Orlando Magic,,D.J. Augustin,Miami Heat,W,10/17/2018,22:16,4,10,.400,1,2,.500,2,2,1.000,0,1,1,2,1,0,0,1,11,-8
59,Orlando Magic,,Jonathan Isaac,Miami Heat,W,10/17/2018,18:08,2,4,.500,1,1,1.000,1,2,.500,2,4,6,1,0,0,1,4,6,-7
60,Atlanta Hawks,,Trae Young,New York Knicks,L,10/17/2018,33:08,5,14,.357,1,5,.200,3,4,.750,0,6,6,5,0,0,4,4,14,-20
61,Atlanta Hawks,,Taurean Waller-Prince,New York Knicks,L,10/17/2018,32:19,7,15,.467,3,7,.429,4,4,1.000,0,6,6,6,0,0,6,4,21,-23
62,Atlanta Hawks,,Kent Bazemore,New York Knicks,L,10/17/2018,30:16,6,12,.500,2,6,.333,0,0,,2,4,6,0,2,1,2,3,14,0
63,Atlanta Hawks,,Vince Carter,New York Knicks,L,10/17/2018,23:58,4,9,.444,2,6,.333,2,2,1.000,0,2,2,0,0,0,2,5,12,+7
