,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
58,59,"Wed, Feb 14, 2018",02/14/2018,Washington Wizards,L,113,118,23,36,L 8,regular season
59,60,"Thu, Feb 22, 2018",02/22/2018,Orlando Magic,W,120,113,24,36,W 1,regular season
60,61,"Sat, Feb 24, 2018",02/24/2018,Boston Celtics,L,112,121,24,37,L 1,regular season
61,62,"Mon, Feb 26, 2018",02/26/2018,Golden State Warriors,L,111,125,24,38,L 2,regular season
62,63,"Fri, Mar 2, 2018",03/02/2018,Los Angeles Clippers,L,105,128,24,39,L 3,regular season
63,64,"Sun, Mar 4, 2018",03/04/2018,Sacramento Kings,L,99,102,24,40,L 4,regular season
64,65,"Tue, Mar 6, 2018",03/06/2018,Portland Trail Blazers,L,87,111,24,41,L 5,regular season
65,66,"Fri, Mar 9, 2018",03/09/2018,Milwaukee Bucks,L,112,120,24,42,L 6,regular season
66,67,"Sun, Mar 11, 2018",03/11/2018,Toronto Raptors,L,106,132,24,43,L 7,regular season
67,68,"Tue, Mar 13, 2018",03/13/2018,Dallas Mavericks,L,97,110,24,44,L 8,regular season
68,69,"Thu, Mar 15, 2018",03/15/2018,Philadelphia 76ers,L,110,118,24,45,L 9,regular season
69,70,"Sat, Mar 17, 2018",03/17/2018,Charlotte Hornets,W,124,101,25,45,W 1,regular season
70,71,"Mon, Mar 19, 2018",03/19/2018,Chicago Bulls,W,110,92,26,45,W 2,regular season
71,72,"Wed, Mar 21, 2018",03/21/2018,Miami Heat,L,98,119,26,46,L 1,regular season
72,73,"Fri, Mar 23, 2018",03/23/2018,Minnesota Timberwolves,L,104,108,26,47,L 2,regular season
73,74,"Sun, Mar 25, 2018",03/25/2018,Washington Wizards,W,101,97,27,47,W 1,regular season
74,75,"Mon, Mar 26, 2018",03/26/2018,Charlotte Hornets,L,128,137,27,48,L 1,regular season
75,76,"Wed, Mar 28, 2018",03/28/2018,Philadelphia 76ers,L,101,118,27,49,L 2,regular season
76,77,"Sat, Mar 31, 2018",03/31/2018,Detroit Pistons,L,109,115,27,50,L 3,regular season
77,78,"Tue, Apr 3, 2018",04/03/2018,Orlando Magic,L,73,97,27,51,L 4,regular season
78,79,"Fri, Apr 6, 2018",04/06/2018,Miami Heat,W,122,98,28,51,W 1,regular season
79,80,"Sat, Apr 7, 2018",04/07/2018,Milwaukee Bucks,L,102,115,28,52,L 1,regular season
80,81,"Mon, Apr 9, 2018",04/09/2018,Cleveland Cavaliers,L,109,123,28,53,L 2,regular season
81,82,"Wed, Apr 11, 2018",04/11/2018,Cleveland Cavaliers,W,110,98,29,53,W 1,regular season
