,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
58,59,"Sat, Feb 24, 2018",02/24/2018,Minnesota Timberwolves,L,104,122,20,39,L 3,regular season
59,60,"Mon, Feb 26, 2018",02/26/2018,Brooklyn Nets,L,87,104,20,40,L 4,regular season
60,61,"Tue, Feb 27, 2018",02/27/2018,Charlotte Hornets,L,103,118,20,41,L 5,regular season
61,62,"Fri, Mar 2, 2018",03/02/2018,Dallas Mavericks,W,108,100,21,41,W 1,regular season
62,63,"Mon, Mar 5, 2018",03/05/2018,Boston Celtics,L,89,105,21,42,L 1,regular season
63,64,"Wed, Mar 7, 2018",03/07/2018,Memphis Grizzlies,W,119,110,22,42,W 1,regular season
64,65,"Fri, Mar 9, 2018",03/09/2018,Detroit Pistons,L,83,99,22,43,L 1,regular season
65,66,"Sun, Mar 11, 2018",03/11/2018,Atlanta Hawks,W,129,122,23,43,W 1,regular season
66,67,"Tue, Mar 13, 2018",03/13/2018,Los Angeles Clippers,L,106,112,23,44,L 1,regular season
67,68,"Thu, Mar 15, 2018",03/15/2018,Memphis Grizzlies,W,111,110,24,44,W 1,regular season
68,69,"Sat, Mar 17, 2018",03/17/2018,Cleveland Cavaliers,L,109,114,24,45,L 1,regular season
69,70,"Mon, Mar 19, 2018",03/19/2018,New York Knicks,L,92,110,24,46,L 2,regular season
70,71,"Wed, Mar 21, 2018",03/21/2018,Denver Nuggets,L,102,135,24,47,L 3,regular season
71,72,"Fri, Mar 23, 2018",03/23/2018,Milwaukee Bucks,L,105,118,24,48,L 4,regular season
72,73,"Sat, Mar 24, 2018",03/24/2018,Detroit Pistons,L,95,117,24,49,L 5,regular season
73,74,"Tue, Mar 27, 2018",03/27/2018,Houston Rockets,L,86,118,24,50,L 6,regular season
74,75,"Thu, Mar 29, 2018",03/29/2018,Miami Heat,L,92,103,24,51,L 7,regular season
75,76,"Fri, Mar 30, 2018",03/30/2018,Orlando Magic,W,90,82,25,51,W 1,regular season
76,77,"Sun, Apr 1, 2018",04/01/2018,Washington Wizards,W,113,94,26,51,W 2,regular season
77,78,"Tue, Apr 3, 2018",04/03/2018,Charlotte Hornets,W,120,114,27,51,W 3,regular season
78,79,"Fri, Apr 6, 2018",04/06/2018,Boston Celtics,L,104,111,27,52,L 1,regular season
79,80,"Sat, Apr 7, 2018",04/07/2018,Brooklyn Nets,L,96,124,27,53,L 2,regular season
80,81,"Mon, Apr 9, 2018",04/09/2018,Brooklyn Nets,L,105,114,27,54,L 3,regular season
81,82,"Wed, Apr 11, 2018",04/11/2018,Detroit Pistons,L,87,119,27,55,L 4,regular season
