,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
58,59,"Sat, Feb 24, 2018",02/24/2018,Philadelphia 76ers,L,105,116,18,41,L 5,regular season
59,60,"Mon, Feb 26, 2018",02/26/2018,Oklahoma City Thunder,L,105,112,18,42,L 6,regular season
60,61,"Wed, Feb 28, 2018",02/28/2018,Toronto Raptors,L,104,117,18,43,L 7,regular season
61,62,"Fri, Mar 2, 2018",03/02/2018,Detroit Pistons,W,115,106,19,43,W 1,regular season
62,63,"Sat, Mar 3, 2018",03/03/2018,Memphis Grizzlies,W,107,100,20,43,W 2,regular season
63,64,"Mon, Mar 5, 2018",03/05/2018,Utah Jazz,L,80,94,20,44,L 1,regular season
64,65,"Wed, Mar 7, 2018",03/07/2018,Los Angeles Lakers,L,107,108,20,45,L 2,regular season
65,66,"Fri, Mar 9, 2018",03/09/2018,Sacramento Kings,L,88,94,20,46,L 3,regular season
66,67,"Sat, Mar 10, 2018",03/10/2018,Los Angeles Clippers,L,105,113,20,47,L 4,regular season
67,68,"Tue, Mar 13, 2018",03/13/2018,San Antonio Spurs,L,72,108,20,48,L 5,regular season
68,69,"Wed, Mar 14, 2018",03/14/2018,Milwaukee Bucks,W,126,117,21,48,W 1,regular season
69,70,"Fri, Mar 16, 2018",03/16/2018,Boston Celtics,L,83,92,21,49,L 1,regular season
70,71,"Tue, Mar 20, 2018",03/20/2018,Toronto Raptors,L,86,93,21,50,L 2,regular season
71,72,"Thu, Mar 22, 2018",03/22/2018,Philadelphia 76ers,L,98,118,21,51,L 3,regular season
72,73,"Sat, Mar 24, 2018",03/24/2018,Phoenix Suns,W,105,99,22,51,W 1,regular season
73,74,"Wed, Mar 28, 2018",03/28/2018,Brooklyn Nets,L,104,111,22,52,L 1,regular season
74,75,"Fri, Mar 30, 2018",03/30/2018,Chicago Bulls,L,82,90,22,53,L 2,regular season
75,76,"Sun, Apr 1, 2018",04/01/2018,Atlanta Hawks,L,88,94,22,54,L 3,regular season
76,77,"Tue, Apr 3, 2018",04/03/2018,New York Knicks,W,97,73,23,54,W 1,regular season
77,78,"Wed, Apr 4, 2018",04/04/2018,Dallas Mavericks,W,105,100,24,54,W 2,regular season
78,79,"Fri, Apr 6, 2018",04/06/2018,Charlotte Hornets,L,100,137,24,55,L 1,regular season
79,80,"Sun, Apr 8, 2018",04/08/2018,Toronto Raptors,L,101,112,24,56,L 2,regular season
80,81,"Mon, Apr 9, 2018",04/09/2018,Milwaukee Bucks,L,86,102,24,57,L 3,regular season
81,82,"Wed, Apr 11, 2018",04/11/2018,Washington Wizards,W,101,92,25,57,W 1,regular season
