,Team,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Los Angeles Lakers,Miami Heat,L,10/04/2020,240,34,79,0.43,14,42,0.333,22,29,0.759,11,32,43,23,8,2,19,22,104,-11
1,Miami Heat,Los Angeles Lakers,W,10/04/2020,240,41,80,0.513,12,34,0.353,21,23,0.913,3,34,37,25,8,3,12,23,115,11
