,name,positions,player_url,number,height,weight,team,Year
0,Jaylen Adams,PG,https://www.basketball-reference.com/players/a/adamsja01.html,10,6-2,190,Atlanta Hawks,2019
1,Justin Anderson,SF,https://www.basketball-reference.com/players/a/anderju01.html,1,6-6,230,Atlanta Hawks,2019
2,Kent Bazemore,SG,https://www.basketball-reference.com/players/b/bazemke01.html,24,6-4,195,Atlanta Hawks,2019
3,DeAndre' Bembry,SG,https://www.basketball-reference.com/players/b/bembrde01.html,95,6-5,210,Atlanta Hawks,2019
4,Vince Carter,PF,https://www.basketball-reference.com/players/c/cartevi01.html,15,6-6,220,Atlanta Hawks,2019
5,John Collins,PF,https://www.basketball-reference.com/players/c/collijo01.html,20,6-9,235,Atlanta Hawks,2019
6,Deyonta Davis,C,https://www.basketball-reference.com/players/d/davisde01.html,4,6-11,237,Atlanta Hawks,2019
7,Dewayne Dedmon,C,https://www.basketball-reference.com/players/d/dedmode01.html,14,7-0,245,Atlanta Hawks,2019
8,Tyler Dorsey,SG,https://www.basketball-reference.com/players/d/dorsety01.html,2,6-5,183,Atlanta Hawks,2019
9,Daniel Hamilton,SG,https://www.basketball-reference.com/players/h/hamilda02.html,5,6-7,195,Atlanta Hawks,2019
10,Kevin Huerter,SG,https://www.basketball-reference.com/players/h/huertke01.html,3,6-7,190,Atlanta Hawks,2019
11,Isaac Humphries,C,https://www.basketball-reference.com/players/h/humphis01.html,8,7-0,255,Atlanta Hawks,2019
12,B.J. Johnson,SF,https://www.basketball-reference.com/players/j/johnsbj01.html,5,6-7,200,Atlanta Hawks,2019
13,Alex Len,C,https://www.basketball-reference.com/players/l/lenal01.html,25,7-0,250,Atlanta Hawks,2019
14,Jeremy Lin,PG,https://www.basketball-reference.com/players/l/linje01.html,7,6-3,200,Atlanta Hawks,2019
15,Miles Plumlee,C,https://www.basketball-reference.com/players/p/plumlmi01.html,18,6-11,249,Atlanta Hawks,2019
16,Alex Poythress,PF,https://www.basketball-reference.com/players/p/poythal01.html,22,6-9,235,Atlanta Hawks,2019
17,Jordan Sibert,SG,https://www.basketball-reference.com/players/s/siberjo01.html,8,6-4,187,Atlanta Hawks,2019
18,Omari Spellman,PF,https://www.basketball-reference.com/players/s/spellom01.html,6,6-8,245,Atlanta Hawks,2019
19,Taurean Waller-Prince,SF,https://www.basketball-reference.com/players/p/princta02.html,12,6-7,218,Atlanta Hawks,2019
20,Trae Young,PG,https://www.basketball-reference.com/players/y/youngtr01.html,11,6-1,180,Atlanta Hawks,2019
