,Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
231,Denver Nuggets,,Jamal Murray,Portland Trail Blazers,W,10/23/2019,33:47,4,14,.286,3,6,.500,3,4,.750,1,4,5,6,1,0,2,1,14,+9
232,Denver Nuggets,,Paul Millsap,Portland Trail Blazers,W,10/23/2019,31:46,3,8,.375,3,4,.750,2,2,1.000,0,5,5,2,3,2,2,3,11,+4
233,Denver Nuggets,,Will Barton,Portland Trail Blazers,W,10/23/2019,31:26,3,8,.375,2,3,.667,11,12,.917,1,4,5,2,2,1,1,1,19,+2
234,Denver Nuggets,,Nikola Jokić,Portland Trail Blazers,W,10/23/2019,23:54,8,14,.571,3,5,.600,1,2,.500,4,9,13,2,0,0,4,4,20,+14
235,Portland Trail Blazers,,Damian Lillard,Denver Nuggets,L,10/23/2019,37:49,10,21,.476,3,10,.300,9,10,.900,1,3,4,8,1,0,3,3,32,0
236,Portland Trail Blazers,,CJ McCollum,Denver Nuggets,L,10/23/2019,35:50,5,18,.278,2,4,.500,0,0,,2,1,3,3,1,0,5,3,12,-10
237,Portland Trail Blazers,,Rodney Hood,Denver Nuggets,L,10/23/2019,31:10,5,10,.500,2,5,.400,1,1,1.000,1,4,5,1,0,0,2,4,13,+3
238,Portland Trail Blazers,,Zach Collins,Denver Nuggets,L,10/23/2019,30:30,4,9,.444,0,2,.000,0,0,,1,4,5,0,0,2,2,3,8,+2
239,Portland Trail Blazers,,Hassan Whiteside,Denver Nuggets,L,10/23/2019,26:03,6,7,.857,0,0,,4,4,1.000,5,14,19,0,0,2,4,4,16,0
240,Denver Nuggets,,Jerami Grant,Portland Trail Blazers,W,10/23/2019,20:49,3,4,.750,2,2,1.000,1,2,.500,1,1,2,1,0,0,1,1,9,+8
241,Denver Nuggets,,Mason Plumlee,Portland Trail Blazers,W,10/23/2019,19:28,2,4,.500,0,0,,1,2,.500,3,1,4,5,1,0,0,2,5,-8
242,Denver Nuggets,,Torrey Craig,Portland Trail Blazers,W,10/23/2019,16:02,4,6,.667,2,3,.667,0,0,,1,5,6,2,1,1,1,4,10,+2
243,Denver Nuggets,,Monte Morris,Portland Trail Blazers,W,10/23/2019,14:11,2,6,.333,0,0,,2,2,1.000,0,1,1,3,0,0,1,0,6,-1
244,Denver Nuggets,,Malik Beasley,Portland Trail Blazers,W,10/23/2019,13:23,2,6,.333,2,4,.500,0,0,,0,1,1,1,1,0,2,2,6,+5
245,Portland Trail Blazers,,Kent Bazemore,Denver Nuggets,L,10/23/2019,24:32,1,7,.143,0,3,.000,2,2,1.000,1,1,2,0,5,0,0,2,4,-11
246,Portland Trail Blazers,,Mario Hezonja,Denver Nuggets,L,10/23/2019,18:00,0,3,.000,0,1,.000,2,2,1.000,0,4,4,0,0,0,0,2,2,-7
247,Portland Trail Blazers,,Anthony Tolliver,Denver Nuggets,L,10/23/2019,13:06,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-9
248,Portland Trail Blazers,,Anfernee Simons,Denver Nuggets,L,10/23/2019,12:16,2,7,.286,0,2,.000,1,2,.500,0,0,0,0,2,0,1,2,5,-5
249,Portland Trail Blazers,,Skal Labissière,Denver Nuggets,L,10/23/2019,10:44,3,4,.750,0,0,,2,2,1.000,2,4,6,1,0,0,2,1,8,-3
250,Sacramento Kings,,Buddy Hield,Phoenix Suns,L,10/23/2019,31:10,10,19,.526,6,12,.500,2,2,1.000,2,3,5,2,0,0,5,2,28,-15
251,Sacramento Kings,,Harrison Barnes,Phoenix Suns,L,10/23/2019,30:10,5,11,.455,1,3,.333,1,3,.333,0,6,6,1,1,0,4,3,12,-20
252,Sacramento Kings,,Marvin Bagley,Phoenix Suns,L,10/23/2019,27:42,6,16,.375,0,0,,2,4,.500,4,6,10,0,1,1,1,1,14,-21
253,Sacramento Kings,,De'Aaron Fox,Phoenix Suns,L,10/23/2019,26:33,3,7,.429,0,1,.000,2,4,.500,0,1,1,5,0,0,5,5,8,-17
254,Sacramento Kings,,Dewayne Dedmon,Phoenix Suns,L,10/23/2019,14:13,1,3,.333,0,1,.000,1,1,1.000,1,5,6,1,0,1,2,3,3,-7
255,Phoenix Suns,,Deandre Ayton,Sacramento Kings,W,10/23/2019,33:24,9,14,.643,0,0,,0,0,,3,8,11,0,1,4,0,2,18,+25
256,Phoenix Suns,,Devin Booker,Sacramento Kings,W,10/23/2019,32:18,10,17,.588,2,4,.500,0,1,.000,0,2,2,10,1,0,3,5,22,+25
257,Phoenix Suns,,Kelly Oubre,Sacramento Kings,W,10/23/2019,30:04,8,17,.471,1,6,.167,4,4,1.000,2,7,9,1,1,2,2,1,21,+19
258,Phoenix Suns,,Ricky Rubio,Sacramento Kings,W,10/23/2019,29:41,4,12,.333,0,2,.000,3,4,.750,2,4,6,11,4,0,4,2,11,+15
259,Phoenix Suns,,Dario Šarić,Sacramento Kings,W,10/23/2019,21:16,2,7,.286,1,4,.250,2,2,1.000,0,4,4,0,1,1,0,1,7,+12
260,Sacramento Kings,,Bogdan Bogdanović,Phoenix Suns,L,10/23/2019,22:04,1,10,.100,0,3,.000,0,0,,0,2,2,2,0,0,1,2,2,-24
261,Sacramento Kings,,Trevor Ariza,Phoenix Suns,L,10/23/2019,21:13,2,5,.400,1,2,.500,2,2,1.000,1,2,3,0,0,0,1,2,7,-9
