,Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
36,Indiana Pacers,,Malcolm Brogdon,Detroit Pistons,L,10/23/2019,35:51,5,13,.385,2,4,.500,10,11,.909,0,3,3,11,0,1,2,2,22,-4
37,Indiana Pacers,,Domantas Sabonis,Detroit Pistons,L,10/23/2019,35:42,11,15,.733,0,1,.000,5,5,1.000,5,8,13,2,0,0,2,5,27,+3
38,Indiana Pacers,,T.J. Warren,Detroit Pistons,L,10/23/2019,33:32,5,12,.417,0,2,.000,0,2,.000,1,0,1,0,0,1,1,3,10,+4
39,Indiana Pacers,,Jeremy Lamb,Detroit Pistons,L,10/23/2019,25:52,4,11,.364,0,2,.000,2,3,.667,1,3,4,3,1,0,2,4,10,-6
40,Cleveland Cavaliers,,Kevin Love,Orlando Magic,L,10/23/2019,35:57,4,9,.444,0,1,.000,3,4,.750,1,17,18,3,1,0,2,2,11,-15
41,Cleveland Cavaliers,,Tristan Thompson,Orlando Magic,L,10/23/2019,33:15,8,11,.727,0,0,,0,0,,2,9,11,1,0,1,1,2,16,0
42,Cleveland Cavaliers,,Darius Garland,Orlando Magic,L,10/23/2019,31:32,3,9,.333,2,4,.500,0,0,,1,1,2,5,1,0,3,0,8,-7
43,Cleveland Cavaliers,,Collin Sexton,Orlando Magic,L,10/23/2019,29:54,5,15,.333,3,8,.375,3,4,.750,1,1,2,2,0,0,3,1,16,-4
44,Cleveland Cavaliers,,Cedi Osman,Orlando Magic,L,10/23/2019,28:59,5,9,.556,3,6,.500,0,0,,0,3,3,2,2,0,2,1,13,+6
45,Orlando Magic,,Nikola Vučević,Cleveland Cavaliers,W,10/23/2019,34:13,8,16,.500,1,5,.200,4,5,.800,1,9,10,3,1,0,1,0,21,+2
46,Orlando Magic,,Aaron Gordon,Cleveland Cavaliers,W,10/23/2019,28:53,2,8,.250,1,2,.500,4,6,.667,0,2,2,3,2,1,1,4,9,+1
47,Orlando Magic,,Evan Fournier,Cleveland Cavaliers,W,10/23/2019,28:06,7,13,.538,2,4,.500,0,2,.000,1,2,3,4,1,1,3,3,16,-10
48,Orlando Magic,,D.J. Augustin,Cleveland Cavaliers,W,10/23/2019,24:34,4,9,.444,1,2,.500,0,0,,0,3,3,5,0,0,0,0,9,+6
49,Orlando Magic,,Jonathan Isaac,Cleveland Cavaliers,W,10/23/2019,23:59,1,3,.333,0,1,.000,1,2,.500,1,7,8,2,1,2,2,4,3,0
50,Minnesota Timberwolves,,Karl-Anthony Towns,Brooklyn Nets,W,10/23/2019,38:41,11,22,.500,7,11,.636,7,8,.875,1,13,14,3,3,3,3,5,36,-1
51,Minnesota Timberwolves,,Andrew Wiggins,Brooklyn Nets,W,10/23/2019,36:13,10,27,.370,0,4,.000,1,2,.500,5,3,8,0,0,0,1,4,21,-26
52,Minnesota Timberwolves,,Treveon Graham,Brooklyn Nets,W,10/23/2019,34:35,4,13,.308,0,3,.000,1,1,1.000,2,4,6,4,1,0,0,2,9,-5
53,Minnesota Timberwolves,,Jeff Teague,Brooklyn Nets,W,10/23/2019,34:34,5,8,.625,0,1,.000,4,4,1.000,0,3,3,4,1,0,3,4,14,-7
54,Minnesota Timberwolves,,Robert Covington,Brooklyn Nets,W,10/23/2019,32:42,6,11,.545,3,6,.500,0,0,,2,7,9,0,0,0,2,4,15,-11
55,Brooklyn Nets,,Taurean Waller-Prince,Minnesota Timberwolves,L,10/23/2019,41:14,6,13,.462,2,5,.400,1,2,.500,3,8,11,2,2,1,0,2,15,+19
56,Brooklyn Nets,,Joe Harris,Minnesota Timberwolves,L,10/23/2019,39:18,5,9,.556,4,6,.667,0,0,,0,4,4,2,0,1,2,3,14,+1
57,Brooklyn Nets,,Kyrie Irving,Minnesota Timberwolves,L,10/23/2019,38:10,17,33,.515,7,14,.500,9,10,.900,2,6,8,7,0,1,0,4,50,+18
58,Brooklyn Nets,,Caris LeVert,Minnesota Timberwolves,L,10/23/2019,37:18,9,19,.474,1,4,.250,1,4,.250,0,5,5,4,3,0,5,3,20,+9
59,Brooklyn Nets,,Jarrett Allen,Minnesota Timberwolves,L,10/23/2019,36:22,3,6,.500,0,0,,0,4,.000,3,6,9,1,1,5,0,4,6,+11
